,cue,response,humanA1,humanA2,humanB1,humanB2,frequency
578,insect,six legs,E,E-comp,E,E-comp,1
579,insect,spider,T,T-sub,T,T-coord,3
580,insurance,car,T,T-sub,S,S-targetstate,7
581,insurance,claim,S,S-action,S,S-action,5
582,insurance,fraud,S,S-action,S,S-action,3
583,interview,job,T,T-sub,S,S-targetstate,18
584,interview,question,S,S-obj,S,S-action,3
585,interview,questions,S,S-obj,S,S-obj,3
586,iron,steel,T,T-coord,T,T-sub,4
587,island,beach,E,E-comp,E,E-comp,5
588,island,isle,T,T-syn,T,T-syn,2
589,island,sea,S,S-loc,S,S-loc,3
590,jeans,blue,E,E-prop,E,E-comp,19
591,jeans,denim,E,E-comp,E,E-comp,11
592,joke,funny,E,E-prop,E,E-prop,22
593,joke,jester,S,S-agent,S,S-agent,1
594,juice,apple,T,T-sub,T,T-sub,14
595,juice,box,S,S-loc,S,S-loc,2
596,juice,drink,T,T-super,S,S-action,6
597,juice,fruit,T,T-sub,E,E-state,7
598,juice,orange,T,T-sub,T,T-sub,24
599,killer,bees,T,T-super,T,T-super,2
600,king,crown,E,E-comp,E,E-comp,7
601,king,knight,S,S-agent,S,S-agent,2
602,king,queen,T,T-ant,T,T-ant,21
603,king,royal,E,E-prop,E,E-prop,3
604,king,ruler,T,T-super,E,E-prop,5
605,kingdom,animal,T,T-sub,T,T-sub,3
606,kingdom,castle,S,S-loc,S,S-obj,4
607,kingdom,England,T,T-sub,T,T-sub,3
608,kingdom,king,E,E-comp,E,E-comp,12
609,kitchen,cook,S,S-function,E,E-comp,9
610,kitchen,cooking,S,S-function,E,E-comp,4
611,kitchen,table,S,S-obj,S,S-obj,3
612,kite,bird,T,T-super,T,T-super,2
613,kite,fly,S,S-function,E,E-beh,18
614,kite,wind,S,S-obj,S,S-obj,7
615,knee,bend,S,S-action,S,S-action,8
616,knee,joint,T,T-super,T,T-super,11
617,knowledge,intelligence,E,E-whole,E,E-prop,5
618,knowledge,smart,E,E-prop,E,E-prop,6
619,lake,blue,E,E-prop,E,E-prop,3
620,language,speech,S,S-action,E,E-comp,3
621,language,words,E,E-comp,E,E-comp,6
622,lantern,candle,T,T-coord,T,T-sub,3
623,lantern,lamp,E,E-comp,T,T-syn,6
624,lantern,light,T,T-super,E,E-prop,26
625,law,lawyer,S,S-agent,S,S-agent,7
626,law,order,I,I-contin,E,E-prop,7
627,law,rule,T,T-syn,E,E-prop,8
628,leaf,book,E,E-comp,E,E-whole,2
629,leaf,green,E,E-prop,E,E-prop,16
630,leaf,tree,E,E-whole,E,E-whole,22
631,leather,cow,E,E-whole,E,E-prop,11
632,leg,arm,T,T-ant,T,T-ant,16
633,leg,foot,T,T-coord,E,E-comp,8
634,legend,myth,T,T-coord,T,T-super,7
635,legend,story,T,T-super,T,T-super,14
636,legend,tale,T,T-coord,T,T-syn,7
637,letter,envelope,S,S-obj,S,S-obj,6
638,letter,mail,S,S-loc,S,S-loc,13
639,letter,post,S,S-action,S,S-action,3
640,lettuce,green,E,E-prop,E,E-prop,15
641,lettuce,salad,T,T-syn,S,S-obj,18
642,library,book,S,S-obj,E,E-comp,7
643,library,librarian,S,S-agent,S,S-agent,7
644,library,quiet,E,E-state,E,E-prop,9
645,light,bright,E,E-state,E,E-prop,8
646,light,sun,T,T-sub,T,T-super,5
647,link,chain,T,T-coord,S,S-obj,20
648,link,join,T,T-syn,E,E-prop,5
649,link,together,E,E-prop,S,S-context,4
650,lobster,fish,T,T-super,S,S-agent,3
651,lobster,food,T,T-super,T,T-super,3
652,lobster,red,E,E-prop,E,E-prop,16
653,logic,brain,I,I-contin,S,S-obj,2
654,logic,math,T,T-coord,T,T-coord,6
655,logic,reason,T,T-syn,E,E-comp,7
656,logic,smart,I,I-contin,E,E-prop,4
657,lover,love,E,E-prop,E,E-prop,4
658,lover,partner,T,T-syn,S,S-targetstate,4
659,lover,sex,S,S-action,S,S-action,13
660,lover,wife,T,T-super,S,S-targetstate,4
661,luggage,baggage,T,T-syn,T,T-syn,10
662,luggage,bags,T,T-syn,T,T-syn,5
663,luggage,travel,S,S-time,E,E-whole,9
664,lunch,food,T,T-super,E,E-comp,8
665,lunch,sandwich,S,S-obj,S,S-obj,10
666,lung,air,S,S-obj,E,E-comp,11
667,lung,breath,S,S-obj,E,E-comp,9
668,lung,breathe,S,S-function,E,E-beh,13
669,machine,engine,E,E-comp,E,E-comp,4
670,machine,washing,T,T-sub,T,T-super,3
671,machine,work,S,S-action,E,E-prop,3
672,mammal,cat,T,T-sub,T,T-sub,4
673,mandarin,Chinese,E,E-prop,E,E-whole,17
674,mango,tree,E,E-whole,E,E-whole,1
675,map,atlas,E,E-whole,E,E-whole,3
676,map,geography,E,E-whole,E,E-whole,5
677,map,Google,T,T-sub,T,T-sub,3
678,map,world,T,T-sub,T,T-sub,6
679,market,shop,E,E-comp,E,E-comp,5
680,market,store,E,E-comp,E,E-comp,7
681,marriage,divorce,T,T-ant,T,T-ant,4
682,marriage,love,E,E-prop,E,E-comp,10
683,marriage,wedding,T,T-syn,S,S-time,11
684,material,cloth,T,T-sub,T,T-sub,7
685,material,fabric,T,T-syn,T,T-sub,10
686,meat,cow,E,E-whole,T,T-sub,4
687,meat,red,E,E-prop,E,E-prop,5
688,meeting,business,T,T-sub,T,T-sub,5
689,meeting,gathering,T,T-syn,T,T-syn,4
690,meeting,work,T,T-sub,T,T-sub,5
691,melody,harmony,T,T-coord,T,T-coord,6
692,melody,rhythm,T,T-coord,E,E-comp,2
693,melody,song,E,E-whole,E,E-whole,23
694,melody,tune,T,T-syn,T,T-syn,13
695,melon,ball,E,E-prop,S,S-targetstate,2
696,melon,cantaloupe,T,T-sub,T,T-sub,5
697,melon,water,T,T-sub,T,T-sub,9
698,melon,watermelon,T,T-sub,T,T-sub,6
699,method,process,T,T-syn,E,E-comp,3
700,method,scientific,T,T-sub,T,T-sub,5
701,microscope,science,S,S-obj,E,E-whole,12
702,microscope,slide,S,S-obj,E,E-comp,5
703,milk,bottle,S,S-loc,S,S-loc,3
704,milk,carton,S,S-loc,S,S-loc,1
705,milk,cow,E,E-whole,T,T-sub,15
706,miner,coal,S,S-obj,S,S-obj,20
707,miner,gold,S,S-obj,S,S-obj,6
708,miner,underground,S,S-loc,S,S-loc,3
709,mint,fresh,E,E-prop,E,E-prop,9
710,mint,money,S,S-obj,S,S-obj,4
711,miracle,religion,E,E-whole,E,E-whole,4
712,mirror,image,S,S-obj,S,S-obj,7
713,mirror,wall,S,S-loc,S,S-loc,6
714,money,cash,T,T-sub,T,T-sub,13
715,money,currency,T,T-super,E,E-whole,3
716,money,green,E,E-prop,E,E-prop,4
717,monkey,ape,T,T-coord,T,T-super,10
718,monkey,primate,T,T-coord,T,T-super,3
719,monster,bed,S,S-loc,S,S-loc,3
720,monster,evil,E,E-state,E,E-state,3
721,monster,green,E,E-prop,E,E-prop,6
722,mood,feeling,T,T-super,E,E-comp,6
723,mood,happy,T,T-sub,T,T-sub,8
724,mood,swing,S,S-action,S,S-targetstate,4
725,moon,full,E,E-state,E,E-state,5
726,moon,stars,T,T-coord,T,T-coord,5
727,moon,sun,T,T-coord,T,T-coord,11
728,moonlight,romance,I,I-contin,I,I-emo,5
729,mountain,high,E,E-prop,E,E-prop,6
730,mountain,top,E,E-comp,E,E-comp,5
731,muscle,arm,E,E-whole,E,E-whole,3
732,muscle,fiber,E,E-comp,E,E-comp,3
733,muscle,strength,E,E-prop,E,E-prop,6
734,museum,history,S,S-context,E,E-prop,9
735,nature,green,E,E-prop,E,E-prop,6
736,nature,natural,E,E-prop,E,E-prop,3
737,nature,outdoors,T,T-syn,E,E-prop,5
738,nature,trees,E,E-comp,E,E-comp,8
739,neck,head,T,T-coord,T,T-coord,12
740,necklace,chain,E,E-prop,T,T-sub,5
741,necklace,neck,S,S-loc,S,S-loc,8
742,necklace,pearl,E,E-comp,E,E-comp,8
743,necklace,pearls,E,E-comp,E,E-comp,6
744,nerve,brain,E,E-whole,E,E-whole,7
745,nerve,ending,E,E-comp,E,E-comp,5
746,nerve,endings,E,E-comp,E,E-comp,2
747,news,good,I,I-eval,E,E-state,2
748,news,newspaper,E,E-whole,E,E-whole,3
749,news,sports,E,E-comp,E,E-comp,1
750,noise,loud,E,E-state,E,E-state,19
751,noise,music,T,T-super,S,S-targetstate,4
752,noise,sound,T,T-syn,E,E-comp,7
753,noise,white,T,T-sub,S,S-targetstate,3
754,noon,afternoon,T,T-coord,T,T-coord,5
755,noon,day,E,E-prop,E,E-prop,6
756,noon,high,E,E-prop,E,E-prop,7
757,noon,lunch,S,S-time,S,S-time,11
758,notebook,movie,I,I-contin,I,I-contin,5
759,notebook,paper,E,E-comp,E,E-comp,12
760,notebook,write,S,S-function,S,S-function,4
761,notebook,writing,S,S-function,S,S-function,5
762,novel,book,T,T-super,E,E-comp,29
763,novel,story,T,T-syn,E,E-comp,7
764,nurse,care,S,S-function,E,E-beh,4
765,nurse,doctor,T,T-coord,S,S-agent,16
766,nurse,white,E,E-prop,E,E-comp,3
767,nut,crazy,T,T-syn,T,T-syn,9
768,nut,peanut,T,T-sub,T,T-sub,7
769,nut,shell,E,E-comp,E,E-comp,5
770,ocean,blue,E,E-prop,E,E-prop,8
771,ocean,salt,E,E-comp,E,E-comp,4
772,ocean,vast,E,E-prop,E,E-prop,5
773,office,business,E,E-whole,E,E-whole,2
774,office,cubicle,E,E-comp,E,E-comp,3
775,office,desk,S,S-obj,S,S-obj,7
776,office,space,T,T-super,T,T-super,3
777,oil,black,E,E-prop,E,E-prop,6
778,oil,gas,T,T-coord,T,T-coord,4
779,oil,olive,T,T-sub,T,T-sub,5
780,oil,spill,S,S-action,S,S-targetstate,6
781,onion,garlic,T,T-coord,S,S-obj,4
782,onion,peel,S,S-action,E,E-comp,6
783,onion,tears,S,S-context,S,S-context,5
784,organ,pipe,E,E-comp,E,E-comp,6
785,orphan,alone,E,E-prop,E,E-prop,9
786,orphan,child,E,E-prop,E,E-prop,12
787,orphan,lonely,I,I-eval,E,E-prop,4
788,orphan,parentless,E,E-prop,E,E-prop,5
789,oven,bake,S,S-function,S,S-function,12
790,oven,cooking,S,S-function,S,S-function,5
791,oven,hot,E,E-prop,E,E-prop,13
792,oven,stove,T,T-syn,S,S-obj,8
793,owl,hoot,E,E-beh,E,E-beh,10
794,owl,night,S,S-time,S,S-time,14
795,owl,wise,I,I-eval,I,I-eval,3
796,palace,big,E,E-prop,E,E-prop,3
797,palace,royalty,S,S-agent,E,E-prop,5
798,parachute,falling,S,S-targetstate,S,S-context,3
799,parachute,plane,S,S-obj,S,S-obj,9
800,paragraph,essay,E,E-whole,E,E-whole,4
801,paragraph,sentence,E,E-comp,E,E-comp,12
802,paragraph,sentences,E,E-comp,E,E-comp,4
803,paragraph,words,E,E-comp,E,E-comp,5
804,parrot,green,E,E-prop,E,E-prop,6
805,parrot,repeat,E,E-beh,E,E-beh,6
806,parrot,talk,E,E-beh,E,E-beh,3
807,part,whole,T,T-ant,T,T-ant,8
808,password,code,T,T-syn,E,E-comp,5
809,password,computer,S,S-obj,S,S-obj,5
810,password,key,E,E-comp,E,E-comp,5
811,password,secret,E,E-prop,E,E-prop,11
812,password,security,E,E-whole,S,S-function,6
813,peace,calm,T,T-coord,T,T-coord,5
814,peace,love,I,I-emo,T,T-coord,12
815,peace,war,T,T-ant,T,T-ant,9
816,peanut,food,T,T-super,T,T-super,2
817,peanut,nut,T,T-super,T,T-super,2
818,penguin,tuxedo,I,I-contin,I,I-contin,6
819,pepper,black,E,E-prop,E,E-prop,7
820,pepper,hot,E,E-prop,E,E-prop,5
821,pepper,red,E,E-prop,E,E-prop,3
822,pepper,salt,T,T-ant,S,S-obj,24
823,phenomenon,happening,S,S-action,T,T-syn,6
824,phenomenon,unusual,S,S-targetstate,S,S-targetstate,3
825,philosophy,Greek,E,E-prop,T,T-sub,2
826,philosophy,science,T,T-super,T,T-coord,2
827,philosophy,study,S,S-action,S,S-action,5
828,philosophy,thought,S,S-targetstate,E,E-comp,4
829,photo,camera,S,S-obj,S,S-obj,11
830,photo,image,T,T-syn,E,E-prop,3
831,photo,memory,I,I-contin,S,S-context,4
832,physics,quantum,T,T-sub,T,T-sub,2
833,picnic,basket,S,S-obj,S,S-obj,14
834,picnic,blanket,S,S-obj,S,S-obj,12
835,picnic,food,S,S-obj,S,S-obj,9
836,picnic,lunch,S,S-time,S,S-time,3
837,picnic,table,S,S-obj,S,S-obj,5
838,pig,pork,T,T-syn,S,S-targetstate,5
839,pirate,Carribean,S,S-loc,S,S-loc,2
840,pirate,parrot,S,S-agent,S,S-agent,4
841,pirate,ship,S,S-obj,S,S-obj,17
842,pizza,cheese,E,E-comp,E,E-comp,15
843,pizza,pepperoni,E,E-comp,E,E-comp,9
844,plan,action,S,S-action,S,S-targetstate,1
845,plan,map,T,T-syn,S,S-obj,5
846,platform,dais,T,T-sub,T,T-syn,1
847,platform,train,S,S-obj,S,S-obj,8
848,pocket,jeans,E,E-whole,E,E-whole,5
849,pocket,pants,E,E-whole,E,E-whole,7
850,poem,English,E,E-prop,E,E-prop,2
851,poem,love,T,T-sub,T,T-sub,4
852,poem,rhyme,E,E-prop,E,E-prop,8
853,poem,verse,E,E-comp,E,E-comp,3
854,poet,poem,S,S-obj,E,E-prop,6
855,policy,government,S,S-obj,E,E-whole,5
856,policy,insurance,T,T-sub,T,T-sub,5
857,policy,plan,T,T-syn,T,T-syn,4
858,policy,public,T,T-sub,T,T-sub,3
859,policy,rule,T,T-syn,E,E-comp,6
860,pork,chop,S,S-targetstate,S,S-targetstate,3
861,pork,chops,S,S-targetstate,S,S-targetstate,3
862,pork,meat,T,T-super,T,T-super,9
863,pork,pig,T,T-syn,E,E-whole,23
864,poster,picture,T,T-coord,E,E-comp,6
865,potato,chip,S,S-targetstate,S,S-targetstate,4
866,potato,chips,S,S-targetstate,S,S-targetstate,5
867,potato,tomato,T,T-coord,T,T-coord,5
868,practice,law,S,S-obj,T,T-sub,2
869,practice,work,T,T-syn,E,E-prop,3
870,pressure,blood,E,E-whole,E,E-whole,3
871,pressure,force,T,T-coord,E,E-prop,4
872,pressure,stress,I,I-contin,T,T-syn,12
873,pressure,tire,E,E-whole,E,E-whole,3
874,process,computer,E,E-whole,E,E-whole,2
875,process,server,E,E-whole,E,E-whole,1
876,process,think,S,S-action,S,S-action,3
877,product,thing,T,T-super,T,T-super,4
878,project,plan,S,S-obj,S,S-obj,2
879,project,school,S,S-loc,S,S-loc,3
880,psychologist,brain,S,S-context,S,S-context,4
881,psychologist,mind,S,S-obj,S,S-context,5
882,psychologist,psychiatrist,T,T-coord,T,T-coord,2
883,psychology,brain,S,S-obj,S,S-context,8
884,psychology,doctor,T,T-coord,S,S-agent,1
885,psychology,mind,S,S-obj,S,S-context,11
886,pudding,chocolate,T,T-sub,T,T-sub,15
887,pudding,sweet,E,E-prop,E,E-prop,6
888,pudding,vanilla,T,T-sub,T,T-sub,4
889,pumpkin,patch,S,S-loc,S,S-loc,2
890,pumpkin,squash,T,T-syn,T,T-coord,5
891,pyramid,Egypt,S,S-loc,S,S-loc,26
892,pyramid,Egyptian,S,S-loc,S,S-loc,3
893,pyramid,Giza,S,S-loc,S,S-loc,2
894,pyramid,triangle,E,E-prop,E,E-prop,8
895,quality,good,E,E-state,E,E-state,10
896,quality,high,E,E-state,E,E-state,3
897,quality,quantity,T,T-ant,T,T-ant,8
898,rabbit,bunny,T,T-syn,T,T-syn,15
899,rabbit,hare,T,T-sub,T,T-coord,6
900,rabbit,white,E,E-prop,E,E-prop,4
901,radiation,cancer,S,S-context,S,S-context,7
902,radiation,nuclear,T,T-sub,T,T-sub,9
903,radio,broadcast,S,S-action,S,S-function,3
904,radio,music,S,S-function,S,S-obj,12
905,radio,news,S,S-obj,S,S-obj,5
906,rain,cloud,S,S-obj,S,S-obj,4
907,rain,drop,S,S-action,E,E-state,3
908,rain,snow,T,T-coord,T,T-coord,4
909,rain,water,E,E-comp,E,E-comp,10
910,rainbow,color,E,E-comp,E,E-prop,6
911,rainbow,colors,E,E-comp,E,E-prop,11
912,rainbow,double,S,S-targetstate,S,S-targetstate,3
913,raincoat,Mac,T,T-syn,T,T-sub,4
914,raincoat,rain,S,S-time,S,S-time,9
915,raincoat,slicker,T,T-syn,T,T-sub,2
916,raincoat,yellow,E,E-prop,E,E-prop,9
917,range,shooting,S,S-action,T,T-sub,2
918,rape,violence,S,S-targetstate,E,E-prop,5
919,reality,life,I,I-contin,I,I-contin,7
920,reality,truth,E,E-prop,E,E-prop,4
921,record,music,S,S-obj,S,S-obj,8
922,record,write,T,T-syn,S,S-action,4
923,refugee,camp,S,S-loc,S,S-loc,4
924,relationship,love,I,I-emo,I,I-emo,14
925,relationship,marriage,S,S-targetstate,S,S-targetstate,5
926,relationship,together,I,I-contin,E,E-prop,2
927,religion,atheism,T,T-sub,T,T-ant,2
928,religion,church,S,S-loc,S,S-loc,6
929,religion,faith,E,E-prop,E,E-comp,6
930,resident,alien,T,T-sub,T,T-sub,5
931,resident,citizen,T,T-coord,T,T-sub,3
932,respect,admire,T,T-coord,T,T-coord,4
933,respect,Aretha,I,I-contin,I,I-contin,4
934,respect,authority,S,S-obj,S,S-obj,2
935,respect,elders,S,S-agent,S,S-agent,1
936,respect,honor,T,T-coord,T,T-coord,10
937,rest,bed,S,S-loc,S,S-obj,4
938,rest,nap,T,T-sub,T,T-sub,5
939,rest,relax,T,T-sub,T,T-sub,7
940,rest,sleep,T,T-sub,T,T-sub,19
941,rest,stop,S,S-action,S,S-action,5
942,revenge,evil,I,I-eval,I,I-eval,3
943,revolution,Beatles,I,I-contin,I,I-contin,3
944,revolution,change,E,E-prop,E,E-prop,7
945,revolution,evolution,T,T-coord,T,T-coord,2
946,ride,bike,S,S-obj,S,S-obj,10
947,ride,car,S,S-obj,S,S-obj,15
948,ride,horse,S,S-agent,S,S-agent,16
949,ride,park,S,S-action,S,S-loc,3
950,ride,roller coaster,T,T-sub,T,T-sub,2
951,risk,averse,S,S-context,S,S-context,1
952,risk,danger,I,I-eval,I,I-eval,9
953,risk,reward,I,I-contin,E,E-prop,5
954,roof,ceiling,E,E-comp,E,E-comp,5
955,roof,shingle,E,E-comp,E,E-comp,4
956,roof,shingles,E,E-comp,E,E-comp,5
957,roof,top,S,S-loc,S,S-loc,11
958,room,bed,S,S-obj,S,S-obj,5
959,room,bedroom,T,T-sub,T,T-sub,2
960,room,house,E,E-whole,E,E-whole,6
961,room,living,T,T-sub,T,T-sub,4
962,room,space,T,T-super,E,E-prop,17
963,roommate,flatmate,T,T-coord,T,T-syn,3
964,roommate,friend,I,I-eval,I,I-eval,11
965,root,plant,E,E-whole,E,E-whole,6
966,rope,string,T,T-syn,T,T-coord,5
967,ruler,length,E,E-prop,E,E-prop,3
968,ruler,measure,S,S-function,S,S-action,11
969,sacrifice,blood,S,S-obj,T,T-sub,6
970,sacrifice,death,I,I-contin,E,E-state,6
971,sacrifice,kill,T,T-syn,E,E-beh,1
972,salad,dressing,S,S-obj,S,S-obj,7
973,salad,green,E,E-prop,E,E-prop,12
974,salad,lettuce,T,T-syn,E,E-comp,12
975,salad,toss,S,S-action,S,S-action,2
976,salmon,acid,E,E-comp,E,E-comp,0
977,salmon,pink,E,E-prop,E,E-prop,12
978,salt,pepper,T,T-coord,S,S-obj,15
979,salt,salty,E,E-prop,E,E-prop,2
980,salt,sea,E,E-whole,E,E-whole,5
981,salt,sugar,T,T-ant,T,T-ant,3
982,sand,beach,E,E-whole,E,E-whole,21
983,sand,castle,T,T-super,T,T-super,5
984,sand,grain,E,E-comp,E,E-comp,2
985,sand,sea,S,S-loc,S,S-loc,5
986,sandwich,bread,T,T-coord,E,E-comp,14
987,sandwich,ham,S,S-obj,S,S-obj,6
988,sandwich,meat,S,S-obj,S,S-obj,5
989,satellite,moon,T,T-super,S,S-obj,8
990,satellite,orbit,E,E-prop,E,E-beh,5
991,sauce,gravy,T,T-sub,T,T-sub,3
992,sauce,ketchup,T,T-sub,T,T-sub,3
993,sauce,pasta,S,S-obj,S,S-obj,4
994,sauce,spaghetti,S,S-obj,S,S-obj,4
995,sauce,tomato,T,T-sub,T,T-sub,10
996,sausage,fest,S,S-time,S,S-time,4
997,sausage,meat,E,E-comp,E,E-comp,9
998,sausage,penis,I,I-contin,T,T-syn,2
999,sausage,pork,E,E-comp,T,T-sub,5
1000,scandal,politics,S,S-obj,T,T-sub,5
1001,scandal,sex,T,T-sub,T,T-sub,7
1002,scarf,hat,T,T-coord,T,T-coord,3
1003,scarf,neck,S,S-loc,S,S-loc,11
1004,scarf,warm,E,E-prop,E,E-prop,10
1005,scholarship,free,I,I-contin,E,E-prop,3
1006,scholarship,money,S,S-obj,S,S-obj,13
1007,scholarship,school,S,S-loc,S,S-loc,8
1008,scholarship,study,S,S-action,S,S-action,6
1009,school,building,T,T-super,S,S-loc,2
1010,school,days,S,S-time,S,S-time,2
1011,school,learn,S,S-function,S,S-function,7
1012,school,work,T,T-coord,S,S-action,6
1013,science,art,T,T-ant,T,T-ant,2
1014,science,knowledge,E,E-prop,E,E-comp,4
1015,science,lab,S,S-loc,S,S-loc,3
1016,sculpture,marble,E,E-comp,E,E-prop,8
1017,sculpture,statue,T,T-syn,T,T-sub,6
1018,seaweed,green,E,E-prop,E,E-prop,11
1019,seaweed,sushi,E,E-whole,S,S-obj,8
1020,sentence,period,E,E-comp,E,E-comp,9
1021,sentence,phrase,T,T-syn,T,T-syn,4
1022,sentence,structure,E,E-prop,E,E-prop,3
1023,service,customer,T,T-sub,T,T-sub,3
1024,service,help,T,T-coord,E,E-prop,6
1025,service,military,T,T-sub,T,T-sub,5
1026,service,work,T,T-coord,T,T-super,2
1027,sex,bed,S,S-loc,S,S-loc,3
1028,sex,female,T,T-sub,E,E-state,8
1029,sex,gender,T,T-syn,T,T-ant,13
1030,sex,love,S,S-targetstate,S,S-context,6
1031,sex,male,T,T-sub,E,E-state,8
1032,shadow,dark,E,E-prop,E,E-prop,13
1033,shadow,darkness,E,E-comp,E,E-comp,3
1034,shadow,light,T,T-ant,S,S-obj,8
1035,shadow,shade,E,E-prop,E,E-prop,3
1036,shape,form,T,T-syn,T,T-coord,7
1037,shark,attack,S,S-action,S,S-action,4
1038,shark,bite,S,S-action,S,S-action,3
1039,shark,fin,E,E-comp,E,E-comp,5
1040,shark,teeth,E,E-comp,E,E-comp,13
1041,sheep,cow,S,S-agent,T,T-coord,3
1042,sheep,dog,S,S-agent,S,S-agent,2
1043,sheep,lamb,T,T-sub,T,T-sub,6
1044,sheep,wool,E,E-comp,E,E-comp,20
1045,shorts,bermuda,T,T-sub,T,T-sub,3
1046,shorts,pants,T,T-sub,T,T-super,12
1047,shoulder,arm,T,T-coord,E,E-whole,12
1048,shoulder,body,E,E-whole,E,E-whole,5
1049,shoulder,cry,S,S-action,S,S-action,6
1050,shoulder,head,T,T-coord,T,T-coord,2
1051,shoulder,neck,T,T-coord,T,T-coord,3
1052,silver,gold,T,T-ant,T,T-coord,21
1053,singer,songwriter,T,T-coord,T,T-coord,3
1054,singer,stage,S,S-loc,S,S-loc,3
1055,sister,brother,T,T-ant,T,T-ant,17
1056,sister,friend,S,S-context,S,S-context,6
1057,skateboard,park,S,S-loc,S,S-loc,6
1058,skateboard,punk,S,S-agent,S,S-agent,4
1059,skin,flesh,T,T-coord,T,T-coord,3
1060,skin,soft,E,E-prop,E,E-prop,7
1061,skin,tight,S,S-targetstate,S,S-targetstate,1
1062,sky,above,S,S-loc,S,S-loc,1
1063,sky,blue,E,E-prop,E,E-prop,28
1064,sky,cloud,S,S-obj,S,S-obj,7
1065,sky,heaven,T,T-super,T,T-sub,2
1066,slave,black,E,E-prop,E,E-prop,12
1067,slave,chains,S,S-obj,S,S-obj,4
1068,slave,master,T,T-ant,T,T-ant,4
1069,slave,worker,T,T-sub,T,T-super,1
1070,snail,shell,E,E-comp,E,E-comp,18
1071,snail,slow,E,E-prop,E,E-prop,18
1072,snail,trail,S,S-obj,S,S-obj,3
1073,snake,grass,S,S-loc,S,S-loc,3
1074,socialism,Marxism,T,T-coord,T,T-sub,5
1075,socialism,politics,S,S-obj,S,S-time,5
1076,socialism,red,E,E-prop,E,E-prop,3
1077,society,community,T,T-super,T,T-sub,3
1078,society,culture,E,E-prop,E,E-comp,4
1079,society,group,T,T-super,T,T-super,9
1080,society,high,T,T-sub,T,T-sub,5
1081,society,people,E,E-comp,E,E-comp,10
1082,soldier,army,E,E-whole,E,E-whole,8
1083,soldier,gun,E,E-comp,S,S-obj,6
1084,soldier,military,E,E-whole,E,E-whole,3
1085,soldier,war,S,S-time,S,S-time,14
1086,son,daughter,T,T-ant,T,T-ant,18
1087,soup,bowl,S,S-loc,S,S-obj,5
1088,soup,chicken,T,T-sub,T,T-sub,6
1089,soup,hot,E,E-state,E,E-state,6
1090,soup,warm,E,E-state,E,E-prop,4
1091,speech,communication,T,T-super,T,T-super,1
1092,speech,tongue,S,S-obj,S,S-obj,2
1093,speech,words,E,E-comp,E,E-comp,5
1094,spell,check,S,S-action,S,S-action,5
1095,spell,magic,E,E-prop,E,E-prop,4
1096,spider,arachnid,T,T-syn,T,T-super,6
1097,spider,bite,S,S-action,S,S-action,4
1098,spider,web,S,S-loc,S,S-loc,15
1099,spoon,eat,S,S-function,S,S-action,3
1100,spoon,soup,S,S-obj,S,S-obj,5
1101,sport,game,E,E-comp,E,E-comp,5
1102,spring,flowers,S,S-obj,S,S-obj,9
1103,squirrel,tree,S,S-loc,S,S-loc,9
1104,stomach,ache,S,S-context,S,S-context,9
1105,stomach,flu,S,S-context,S,S-context,2
1106,stomach,gut,T,T-syn,T,T-coord,6
1107,stone,hard,E,E-prop,E,E-prop,9
1108,story,tale,T,T-syn,T,T-syn,17
1109,story,teller,S,S-agent,S,S-agent,3
1110,story,telling,S,S-action,S,S-action,2
1111,story,time,S,S-time,S,S-time,5
1112,stranger,candy,S,S-obj,S,S-obj,2
1113,stranger,dark,S,S-context,S,S-context,3
1114,stranger,person,T,T-super,S,S-agent,3
1115,stranger,unknown,E,E-prop,E,E-prop,10
1116,straw,drink,S,S-obj,S,S-action,12
1117,straw,hay,T,T-coord,T,T-coord,15
1118,strawberry,fields,S,S-loc,S,S-loc,6
1119,strawberry,raspberry,T,T-coord,T,T-coord,3
1120,street,address,E,E-whole,E,E-prop,4
1121,street,car,S,S-obj,S,S-obj,5
1122,street,road,T,T-coord,T,T-coord,17
1123,structure,building,T,T-sub,T,T-sub,27
1124,structure,edifice,T,T-sub,T,T-sub,1
1125,struggle,challenge,T,T-coord,T,T-coord,1
1126,struggle,fight,T,T-coord,T,T-coord,14
1127,struggle,hard,E,E-prop,E,E-prop,6
1128,struggle,try,E,E-prop,S,S-action,2
1129,success,goal,S,S-obj,E,E-prop,2
1130,success,rich,I,I-contin,E,E-prop,1
1131,success,win,T,T-syn,S,S-action,8
1132,success,winning,S,S-action,S,S-action,3
1133,suicide,death,E,E-state,E,E-prop,18
1134,suicide,die,I,I-contin,I,I-contin,2
1135,sunrise,orange,E,E-prop,E,E-prop,4
1136,sunrise,sun,S,S-obj,E,E-comp,5
1137,sunrise,sunset,T,T-ant,T,T-ant,15
1138,sunset,beach,S,S-loc,S,S-loc,7
1139,sunset,orange,E,E-prop,E,E-state,8
1140,sunset,sunrise,T,T-ant,T,T-ant,7
1141,supermarket,groceries,S,S-obj,S,S-obj,5
1142,supermarket,grocery,S,S-obj,S,S-obj,5
1143,supermarket,shop,T,T-super,T,T-super,4
1144,supermarket,store,T,T-super,T,T-super,5
1145,swan,dive,S,S-action,S,S-action,2
1146,swan,graceful,I,I-eval,E,E-prop,4
1147,swan,lake,S,S-loc,S,S-loc,10
1148,swan,white,E,E-prop,E,E-state,13
