cue,category,feature,relation,association,nWords,frequency
chicken,Animals,a bird,T-SUPER,bird,1,5
chicken,Animals,chicken,T-SYN,chicken,1,5
chicken,Animals,clucks,E-BEH,clucks,1,5
chicken,Animals,is eaten,S-ACTION,eaten,1,12
chicken,Animals,used for making stew,S-ACTION,stew,1,5
chicken,Animals,eats corn,E-BEH,eats,1,5
chicken,Animals,has feathers,E-EXCOMP,feathers,1,13
chicken,Animals,lays eggs,E-BEH,eggs,1,27
chicken,Animals,little chicken,T-COORD,chicken,1,11
chicken,Animals,eg - Malines chicken,T-SUBORD,Malines chicken,2,NA
chicken,Animals,lives in the henhouse,S-LOC,henhouse,1,8
chisel,Utensils,carrot,S-LIVING,carrot,1,9
chisel,Utensils,fruit,S-LIVING,fruit,1,5
chisel,Utensils,eg - metal,E-MAT,metal,1,10
chisel,Utensils,potatoe,S-LIVING,potatoe,1,9
chisel,Utensils,used for cutting,S-FUNC,cutting,1,5
chisel,Utensils,is useful,I-EVAL,useful,1,9
chisel,Utensils,a utensil,T-SUPER,utensil,1,11
chisel,Utensils,found in the kitchen,S-LOC,kitchen,1,11
chisel,Utensils,has a cutting edge,E-EXSURF,cutting edge,2,5
church,Constructions,is big,E-QUANT,big,1,6
church,Constructions,god,S-SOCART,god,1,5
church,Constructions,mass,S-SOCART,mass,1,7
church,Constructions,pray,S-ACTION,pray,1,14
church,Constructions,priest,S-PERSON,priest,1,5
church,Constructions,religion,S-SOCART,religion,1,5
church,Constructions,wedding,S-EVENT,wedding,1,5
cigar,Objects,is big,E-QUANT,big,1,5
cigar,Objects,is brown,E-EXSURF,brown,1,6
cigar,Objects,causes_disease,E-SYS,causes_disease,1,8
cigar,Objects,a cigar,T-SUPER,cigar,1,16
cigar,Objects,used for smoking,S-FUNC,smoking,1,11
cigar,Objects,has tobacco,E-INCOMP,tobacco,1,10
cigar,Objects,releases smoke,E-BEH,v,1,13
cigar,Objects,found in Cuba,S-LOC,Cuba,1,NA
cigarette,Objects,causes_disease,E-SYS,causes_disease,1,9
cigarette,Objects,illness,I-CONTIN,illness,1,5
cigarette,Objects,paper,E-EXCOMP,paper,1,5
cigarette,Objects,used for smoking,S-FUNC,smoking,1,5
cigarette,Objects,is a vice,I-REP,vice,1,10
cigarette,Objects,causes cancer,S-ACTION,cancer,1,8
cigarette,Objects,causes disease,I-EVAL,disease,1,5
cigarette,Objects,has nicotine,E-INCOMP,nicotine,1,7
cigarette,Objects,has tobacco,E-INCOMP,tobacco,1,13
cigarette,Objects,releases smoke,E-BEH,smoke,1,11
clock,Devices,alarm,S-FUNC,alarm,1,6
clock,Devices,used for indicating time,S-FUNC,time,1,11
clock,Devices,used for waking up,S-FUNC,waking up,2,5
closet,Furniture,order,S-FUNC,order,1,5
closet,Furniture,used for storing clothes,S-FUNC,storing,1,13
closet,Furniture,used for storing things,S-FUNC,storing,1,12
closet,Furniture,is useful,I-EVAL,useful,1,5
closet,Furniture,has doors,E-EXCOMP,doors,1,9
closet,Furniture,has drawers,E-EXCOMP,drawers,1,5
closet,Furniture,made of wood,E-MAT,wood,1,10
closet,Furniture,a piece of furniture,T-SUPER,furniture,1,11
clothespin,Utensils,used for hanging clothes,E-MAT,clothes,1,15
clothespin,Utensils,is useful,I-EVAL,useful,1,5
clothespin,Utensils,made of plastic,E-MAT,plastic,1,11
clothespin,Utensils,made of wood,E-MAT,wood,1,12
cloud,Nature,water,E-INCOMP,water,1,5
cloud,Nature,is white,E-EXSURF,white,1,6
cloud,Nature,produce rain,E-BEH,rain,1,14
cloud,Nature,covers the sun,S-SPAT,sun,1,5
cloud,Nature,found in the sky,S-TIME,sky,1,11
clown,Toys,cheerful,I-EMOT,cheerful,1,12
clown,Toys,circus,S-LOC,circus,1,16
clown,Toys,is colorful,E-EXSURF,colorful,1,7
clown,Toys,is funny,I-EVAL,funny,1,11
clown,Toys,is funny,I-EVAL,funny,1,5
clown,Toys,is funny,E-SYS,funny,1,11
clown,Toys,is funny,E-SYS,funny,1,5
clown,Toys,is sad,I-EVAL,sad,1,5
clown,Toys,has a nose,E-EXCOMP,nose,1,6
clown,Toys,liked by children,I-REP,children,1,10
clown,Toys,makes you laugh,S-FUNC,laugh,1,8
clown,Toys,has a painted face,E-EXSURF,painted face,2,8
clown,Toys,has a red nose,E-EXCOMP,red nose,2,6
coat,Clothing,clothing,T-SUPER,clothing,1,10
coat,Clothing,is elegant,I-EVAL,elegant,1,6
coat,Clothing,is long,E-QUANT,long,1,6
coat,Clothing,winter,S-TIME,winter,1,5
coat,Clothing,is a warm clothing,T-SUPER,warm clothing,2,14
coat,Clothing,made of wool,E-MAT,wool,1,7
cockroach,Animals,is black,E-EXSURF,black,1,10
cockroach,Animals,is brown,E-EXSURF,brown,1,5
cockroach,Animals,is dirty,I-EVAL,dirty,1,5
cockroach,Animals,is disgusting,I-EVAL,disgusting,1,12
cockroach,Animals,an insect,T-SUPER,insect,1,21
cockroach,Animals,is a plague,T-SUPER,plague,1,10
cockroach,Animals,is ugly,I-EVAL,ugly,1,12
colander,Utensils,coffee,S-OBJECT,coffee,1,5
colander,Utensils,tea,S-OBJECT,tea,1,9
colander,Utensils,used for straining nuddles,T-SUPER,straining,1,14
colander,Utensils,used for strainning,S-FUNC,strainning,1,8
colander,Utensils,a utensil,T-SUPER,utensil,1,5
colander,Utensils,vegetables,S-LIVING,vegetables,1,7
colander,Utensils,made of metal,E-MAT,metal,1,5
colander,Utensils,made of plastic,E-MAT,plastic,1,8
colander,Utensils,made of steel,E-MAT,steel,1,6
colander,Utensils,found in the kitchen,S-LOC,kitchen,1,6
comb,Accessories,used for combing,S-FUNC,combing,1,14
comb,Accessories,used for hair,S-FUNC,hair,1,10
comb,Accessories,is useful,I-EVAL,useful,1,5
comb,Accessories,has teeth,E-INCOMP,teeth,1,10
comb,Accessories,made of plastic,E-MAT,plastic,1,5
compass,Tools,guide,S-FUNC,guide,1,5
compass,Tools,used for determining directions,S-FUNC,directions,1,12
compass,Tools,used for orienting oneself,S-FUNC,orienting,1,5
compass,Tools,points to the north,S-FUNC,north,1,6
condor,Animals,an animal,T-SUPER,animal,1,8
condor,Animals,is big,E-QUANT,big,1,7
condor,Animals,a bird,T-SUPER,bird,1,11
condor,Animals,flies,E-BEH,flies,1,10
condor,Animals,height,S-LOC,height,1,8
condor,Animals,lives in the mountain,S-LOC,mountain,1,11
corn,Vegetables,corn,S-OBJECT,corn,1,11
corn,Vegetables,is eaten,S-ACTION,eaten,1,12
corn,Vegetables,a foodstuff,T-SUPER,foodstuff,1,9
corn,Vegetables,a vegetable,T-SUPER,vegetable,1,6
corn,Vegetables,is yellow,E-EXSURF,yellow,1,13
corn,Vegetables,has grains,E-EXCOMP,grains,1,13
corn,Vegetables,tastes good,I-EVAL,good,1,6
corn,Vegetables,found in the field,S-LOC,field,1,6
couch,Furniture,is comfortable,I-EVAL,comfortable,1,17
couch,Furniture,used for resting,S-FUNC,resting,1,18
couch,Furniture,used for sitting,S-FUNC,sitting,1,11
couch,Furniture,has cushions,E-EXCOMP,cushions,1,6
couch,Furniture,made of fabric,E-MAT,fabric,1,6
couch,Furniture,made of leather,E-MAT,leather,1,6
couch,Furniture,a piece of furniture,T-SUPER,furniture,1,7
cow,Animals,an animal,T-SUPER,animal,1,6
cow,Animals,barbecue,S-EVENT,barbecue,1,5
cow,Animals,calf,T-SUBORD,calf,1,8
cow,Animals,is eaten,S-ACTION,eaten,1,6
cow,Animals,moos,E-BEH,moos,1,5
cow,Animals,eats grass,E-BEH,eats,1,8
cow,Animals,gives milk,E-BEH,eats,1,25
cow,Animals,produces leather,S-ACTION,leather,1,15
cow,Animals,eaten as meat,S-FUNC,meat,1,17
cow,Animals,lives in the countryside,S-LOC,countryside,1,10
crab,Animals,a crustacean,T-SUPER,crustacean,1,9
crab,Animals,is eaten,S-ACTION,eaten,1,10
crab,Animals,has clamps,E-EXCOMP,clamps,1,10
crab,Animals,has legs,E-EXCOMP,legs,1,6
crab,Animals,lives in the sea,S-LOC,sea,1,14
crocodile,Animals,an animal,T-SUPER,animal,1,13
crocodile,Animals,is carnivorous,E-SYS,carnivorous,1,5
crocodile,Animals,is dangerous,I-EVAL,dangerous,1,8
crocodile,Animals,is green,E-EXSURF,green,1,14
crocodile,Animals,a reptile,T-SUPER,reptile,1,8
crocodile,Animals,is ugly,I-EVAL,ugly,1,6
crocodile,Animals,used for making bags,S-ACTION,bags,1,9
crocodile,Animals,used for making shoes,S-ACTION,shoes,1,5
crocodile,Animals,has teeth,E-INCOMP,teeth,1,7
crown,Accessories,is brilliant,E-EXSURF,brilliant,1,5
crown,Accessories,used by the king,S-PERSON,king,1,8
crown,Accessories,used by the princess,S-PERSON,princess,1,7
crown,Accessories,used by the queen,S-PERSON,queen,1,19
crown,Accessories,gives power,I-REP,power,1,5
crown,Accessories,has flowers,E-EXCOMP,flowers,1,9
crown,Accessories,made of gold,E-MAT,gold,1,7
cup,Containers,coffee,S-OBJECT,coffee,1,7
cup,Containers,tea,S-OBJECT,tea,1,8
cup,Containers,a utensil,T-SUPER,utensil,1,5
cup,Containers,made of ceramic,E-MAT,ceramic,1,5
cutting board,Utensils,used for chopping,S-FUNC,chopping,1,8
cutting board,Utensils,is useful,I-EVAL,useful,1,5
cutting board,Utensils,vegetables,S-LIVING,vegetables,1,5
cutting board,Utensils,made of wood,E-MAT,wood,1,16
cymbals,Musical instruments,sound,S-FUNC,sound,1,8
cymbals,Musical instruments,used for food,S-FUNC,food,1,13
cymbals,Musical instruments,used for making music,S-FUNC,music,1,6
cymbals,Musical instruments,are part of the drum set,E-WHOLE,drum set,2,5
cymbals,Musical instruments,a musical instrument,T-SUPER,musical instrument,2,5
cymbals,Musical instruments,made of metal,E-MAT,metal,1,6
dart,Toys,aim,E-ABSTR,aim,1,10
dart,Toys,is dangerous,I-EVAL,dangerous,1,6
dart,Toys,game,S-SOCART,game,1,13
dart,Toys,an object,T-ONT,object,1,5
dart,Toys,pokes,E-BEH,pokes,1,7
dart,Toys,used target practice,T-SUBORD,target practice,2,13
dart,Toys,has a tip,E-EXCOMP,tip,1,10
deer,Animals,an animal,T-SUPER,animal,1,18
deer,Animals,is brown,E-EXSURF,brown,1,5
deer,Animals,is eaten,S-ACTION,eaten,1,5
deer,Animals,is fast,E-SYS,fast,1,11
deer,Animals,is nice,I-EVAL,nice,1,13
deer,Animals,has horns,E-EXCOMP,horns,1,19
desk,Furniture,is comfortable,I-EVAL,comfortable,1,5
desk,Furniture,used for storing things,S-FUNC,storing,1,5
desk,Furniture,used for studying,S-FUNC,studying,1,6
desk,Furniture,used for working,S-FUNC,working,1,9
desk,Furniture,used for writing,S-FUNC,writing,1,11
desk,Furniture,made of wood,E-MAT,wood,1,10
desk,Furniture,a piece of furniture,T-SUPER,furniture,1,7
desk,Furniture,serves to support,S-FUNC,support,1,6
desk,Furniture,serves to support books,S-FUNC,support,1,5
dinosaur,Animals,is ancient,S-TIME,ancient,1,7
dinosaur,Animals,an animal,T-SUPER,animal,1,12
dinosaur,Animals,is big,E-QUANT,big,1,14
dinosaur,Animals,extinct,E-SYS,extinct,1,6
dinosaur,Animals,is prehistoric,S-TIME,prehistoric,1,9
dog,Animals,an animal,T-SUPER,animal,1,7
dog,Animals,barks,E-BEH,barks,1,5
dog,Animals,bites,E-BEH,bites,1,5
dog,Animals,friend,I-EVAL,friend,1,15
dog,Animals,is guardian,I-REP,guardian,1,17
dog,Animals,is loving,I-EVAL,loving,1,5
dog,Animals,is loyal,I-EVAL,loyal,1,11
dog,Animals,partner,I-REP,partner,1,10
dog house,Constructions,animals,S-LIVING,animals,1,6
dog house,Constructions,dog,S-LIVING,dog,1,22
dog house,Constructions,a house,T-SUPER,house,1,13
dog house,Constructions,made of wood,E-MAT,wood,1,9
doll,Toys,childhood,S-TIME,childhood,1,9
doll,Toys,used by girls,S-PERSON,girls,1,10
doll,Toys,is nice,I-EVAL,nice,1,10
doll,Toys,a toy,T-SUPER,toy,1,12
doll,Toys,used for playing,S-FUNC,playing,1,7
dolphin,Animals,an animal,T-SUPER,animal,1,7
dolphin,Animals,a fish,T-SUPER,fish,1,6
dolphin,Animals,is friendly,E-SYS,friendly,1,9
dolphin,Animals,is gray,E-EXSURF,gray,1,5
dolphin,Animals,is intelligent,E-SYS,intelligent,1,10
dolphin,Animals,jumps,E-BEH,jumps,1,7
dolphin,Animals,a mammal,T-SUPER,mammal,1,10
dolphin,Animals,is nice,I-EVAL,nice,1,6
dolphin,Animals,lives in the sea,S-LOC,sea,1,10
dolphin,Animals,lives in the water,S-LOC,water,1,7
donkey,Animals,an animal,T-SUPER,animal,1,15
donkey,Animals,is gray,E-EXSURF,gray,1,7
donkey,Animals,used for loads,S-ACTION,loads,1,8
donkey,Animals,has ears,E-EXCOMP,ears,1,14
donkey,Animals,has legs,E-EXCOMP,legs,1,11
door,House parts,entry,S-FUNC,entry,1,8
door,House parts,exit,S-FUNC,exit,1,7
door,House parts,key,S-OBJECT,key,1,5
door,House parts,is openable,S-ACTION,openable,1,6
door,House parts,safety,S-SOCART,safety,1,5
door,House parts,divide spaces,S-FUNC,divide,1,7
door,House parts,has glass,E-EXCOMP,glass,1,6
door,House parts,can be closed,S-ACTION,closed,1,7
door,House parts,has a handle,E-EXCOMP,handle,1,6
door,House parts,made of aluminum,E-MAT,aluminum,1,10
door,House parts,made of wood,E-MAT,wood,1,13
door,House parts,found in the house,S-LOC,house,1,5
doorknob,House parts,door,T-SYN,door,1,9
doorknob,House parts,used for opening doors,S-FUNC,doors,1,11
doorknob,House parts,made of metal,E-MAT,metal,1,5
doorknob,House parts,used for opening and closing,S-FUNC,opening,1,5
dragonfly,Animals,butterfly,S-OBJECT,butterfly,1,8
dragonfly,Animals,flies,E-BEH,flies,1,10
dragonfly,Animals,an insect,T-SUPER,insect,1,16
dragonfly,Animals,has wings,E-EXCOMP,wings,1,10
dress,Clothing,clothing,T-SUPER,clothing,1,15
dress,Clothing,is elegant,I-EVAL,elegant,1,7
dress,Clothing,is long,E-QUANT,long,1,10
dress,Clothing,used by women,S-PERSON,women,1,12
dress,Clothing,worn at parties,S-EVENT,parties,1,9
dress,Clothing,different colors,E-EXSURF,colors,1,7
dress,Clothing,eg_-_ is short,E-QUANT,short,1,7
dress,Clothing,made of fabric,E-MAT,fabric,1,9
dresser,Furniture,used for storing clothes,S-FUNC,storing,1,21
dresser,Furniture,has drawers,E-EXCOMP,drawers,1,10
dresser,Furniture,made of wood,E-MAT,wood,1,14
dresser,Furniture,a piece of furniture,T-SUPER,furniture,1,19
dresser,Furniture,found in the bedroom,S-LOC,bedroom,1,15
drum,Musical instruments,is noisy,E-SYS,noisy,1,7
drum,Musical instruments,sound,S-FUNC,sound,1,7
drum,Musical instruments,used for making music,S-FUNC,music,1,9
drum,Musical instruments,has sticks,S-OBJECT,sticks,1,5
drum,Musical instruments,a musical instrument,T-SUPER,musical instrument,2,6
duck,Animals,an animal,T-SUPER,animal,1,6
duck,Animals,swims,E-BEH,swims,1,6
duck,Animals,makes noises,E-BEH,noises,1,5
eagle,Animals,an animal,T-SUPER,animal,1,5
eagle,Animals,is big,E-QUANT,big,1,8
eagle,Animals,a bird,T-SUPER,bird,1,8
eagle,Animals,flies,E-BEH,flies,1,16
eagle,Animals,hunts,E-BEH,hunts,1,5
eagle,Animals,has claws,E-EXCOMP,claws,1,9
eagle,Animals,has feathers,E-EXCOMP,feathers,1,5
eagle,Animals,has wings,E-EXCOMP,wings,1,6
eagle,Animals,has a beak,E-EXCOMP,beak,1,5
eagle,Animals,lives in the mountain,S-LOC,mountain,1,7
ear,Body parts,is big,E-QUANT,big,1,6
ear,Body parts,a part of the body,E-WHOLE,body,1,6
ear,Body parts,ear,T-COORD,ear,1,5
ear,Body parts,earring,S-OBJECT,earring,1,20
ear,Body parts,is small,E-QUANT,small,1,6
ear,Body parts,used for hearing,S-FUNC,hearing,1,25
eel,Animals,is eaten,S-ACTION,eaten,1,5
eel,Animals,is electrical,E-SYS,electrical,1,5
eel,Animals,a fish,T-SUPER,fish,1,11
eel,Animals,swims,E-BEH,swims,1,5
eel,Animals,lives in the sea,S-LOC,sea,1,11
eel,Animals,lives in the water,S-LOC,water,1,12
elephant,Animals,an animal,T-SUPER,animal,1,16
elephant,Animals,is big,E-QUANT,big,1,26
elephant,Animals,circus,S-LOC,circus,1,8
elephant,Animals,is gray,E-EXSURF,gray,1,7
elephant,Animals,is heavy,E-SYS,heavy,1,8
elephant,Animals,a mammal,T-SUPER,mammal,1,5
elephant,Animals,pachyderm,T-SUPER,pachyderm,1,5
elephant,Animals,has a trunk,E-EXCOMP,trunk,1,14
elephant,Animals,lives in Africa,S-LOC,Africa,1,NA
envelope,Utensils,letter,S-OBJECT,letter,1,17
envelope,Utensils,mail,S-LOC,mail,1,6
envelope,Utensils,is white,E-EXSURF,white,1,8
envelope,Utensils,brings news,S-FUNC,news,1,7
envelope,Utensils,used for saving papers,S-FUNC,papers,1,5
envelope,Utensils,made of paper,E-MAT,paper,1,8
envelope,Utensils,used for sending an invitation,S-FUNC,invitation,1,6
eye,Body parts,a part of the body,E-WHOLE,body,1,5
eye,Body parts,is necessary,I-EVAL,necessary,1,7
eye,Body parts,is nice,I-EVAL,nice,1,5
eye,Body parts,sight,S-FUNC,sight,1,11
eye,Body parts,used to see,S-FUNC,see,1,9
eye,Body parts,found on the face,S-LOC,face,1,5
fan,Accessories,is ancient,S-TIME,ancient,1,7
fan,Accessories,is decorative,E-SYS,decorative,1,7
fan,Accessories,used for heat,S-FUNC,heat,1,12
fan,Accessories,gives air,S-FUNC,gives air,2,8
fan,Accessories,used for blowing air,S-FUNC,blowing air,2,12
fan,Accessories,can be folded,S-ACTION,folded,1,5
fan,Accessories,gives fresh air,S-FUNC,fresh air,2,7
fan,Accessories,made of fabric,E-MAT,fabric,1,5
faucet,House Parts,cleanliness,S-SOCART,cleanliness,1,5
faucet,House Parts,leaks,E-BEH,leaks,1,6
faucet,House Parts,where water comes out,E-SYS,water,1,24
faucet,House Parts,made of metal,E-MAT,metal,1,6
faucet,House Parts,found in the bathroom,S-LOC,bathroom,1,8
faucet,House Parts,found in the kitchen,S-LOC,kitchen,1,6
feather,Body parts,duster,E-WHOLE,duster,1,8
feather,Body parts,flies,E-BEH,flies,1,5
feather,Body parts,pillow,S-OBJECT,pillow,1,5
feather,Body parts,used for writing,S-FUNC,writing,1,9
feather,Body parts,different colors,E-EXSURF,colors,1,7
feather,Body parts,found in birds,E-WHOLE,birds,1,30
fence,Constructions,is decorative,E-SYS,decorative,1,6
fence,Constructions,used for protecting,S-FUNC,protecting,1,6
fence,Constructions,eg - wire,E-MAT,wire,1,6
fence,Constructions,sets boundaries,S-FUNC,boundaries,1,12
fence,Constructions,made of wood,E-MAT,wood,1,16
fence,Constructions,found in the field,S-LOC,field,1,5
fence,Constructions,found in the garden,S-LOC,garden,1,6
fence,Constructions,serves to devide land,S-FUNC,divide,1,10
fern,Plants,bouquet,E-WHOLE,bouquet,1,5
fern,Plants,decorates,S-FUNC,decorates,1,8
fern,Plants,is green,E-EXSURF,green,1,11
fern,Plants,is nice,I-EVAL,nice,1,5
fern,Plants,a plant,T-SUPER,plant,1,21
ferris wheel,Toys,know,I-REP,know,1,7
ferris wheel,Toys,travel,T-SYN,travel,1,5
ferris wheel,Toys,found in the amusement park,S-BUILD,amusement park,2,7
finger,Body parts,a part of the body,E-WHOLE,body,1,7
finger,Body parts,foot,E-WHOLE,foot,1,6
finger,Body parts,ring,S-OBJECT,ring,1,8
finger,Body parts,used for pointing,S-FUNC,pointing,1,5
finger,Body parts,has nail,E-EXCOMP,nail,1,10
finger,Body parts,found in the hand,S-LOC,hand,1,18
fire hydrant,Containers,eg - manual,T-SUBORD,manual,1,5
fire hydrant,Containers,used for watering,S-FUNC,watering,1,6
fire hydrant,Containers,used to get water,S-FUNC,water,1,8
fire hydrant,Containers,contains water,S-OBJECT,water,1,9
fire hydrant,Containers,eg - electric stove,T-SUBORD,electric stove,2,5
fire hydrant,Containers,found in the field,S-LOC,field,1,7
fireplace,Constructions,fire,S-OBJECT,fire,1,13
fireplace,Constructions,firewood,S-OBJECT,firewood,1,9
fireplace,Constructions,home,T-SYN,home,1,11
fireplace,Constructions,releases smoke,E-BEH,smoke,1,16
fireplace,Constructions,used for heatting up,S-FUNC,heating up,2,16
fireplace,Constructions,made of bricks,E-MAT,bricks,1,5
fish,Animals,an animal,T-SUPER,animal,1,6
fish,Animals,is eaten,S-ACTION,eaten,1,11
fish,Animals,a foodstuff,T-SUPER,foodstuff,1,5
fish,Animals,swims,E-BEH,swims,1,11
fish,Animals,has scales,E-EXCOMP,scales,1,6
fish,Animals,lives in the sea,S-LOC,sea,1,6
fish,Animals,lives in the water,S-LOC,water,1,12
fishbowl,Containers,contains water,E-INSURF,water,1,19
fishbowl,Containers,has plants,S-LIVING,plants,1,5
fishbowl,Containers,has fishes inside,S-LIVING,fishes inside,2,22
fishbowl,Containers,has little stones,S-OBJECT,little stones,2,6
fishbowl,Containers,made of glass,E-MAT,glass,1,7
fishhook,Tools,bait,S-LIVING,bait,1,8
fishhook,Tools,is dangerous,I-EVAL,dangerous,1,5
fishhook,Tools,fish,S-LIVING,fish,1,24
fishhook,Tools,used by the fisherman,S-PERSON,fisherman,1,5
fishhook,Tools,river,S-LOC,river,1,5
fishhook,Tools,sea,S-LOC,sea,1,8
fishhook,Tools,used for fishing,S-FUNC,fishing,1,24
fishhook,Tools,fishing rod,S-OBJECT,fishing rod,2,14
fishing rod,Tools,fish,S-LIVING,fish,1,6
fishing rod,Tools,used for fishing,S-FUNC,fishing,1,13
fishing rod,Tools,a part of the fishing rod,E-WHOLE,fishing rod,2,6
fishing rod,Tools,has a fishing line,E-EXCOMP,fishing line,2,7
fishtail,Body parts,fish,E-WHOLE,fish,1,6
fishtail,Body parts,sea,S-LOC,sea,1,5
fishtail,Body parts,used for propelling,S-FUNC,propelling,1,5
fishtail,Body parts,used for swimming,S-FUNC,swimming,1,11
fishtail,Body parts,has scales,E-EXCOMP,scales,1,6
fishtail,Body parts,serves as helm,S-FUNC,helmet,1,6
fishtail,Body parts,a part of an animal,E-WHOLE,animal,1,5
flag,Objects,flutters,E-BEH,flutters,1,8
flag,Objects,homeland,I-REP,homeland,1,9
flag,Objects,a symbol,T-SUPER,symbol,1,7
flag,Objects,used for representing a country,S-FUNC,representing,1,5
flag,Objects,different colors,E-EXSURF,colors,1,8
flag,Objects,a patriotic symbol,E-ABSTR,patriotic symbol,2,5
flag,Objects,made of fabric,E-MAT,fabric,1,8
flag,Objects,found in the school,S-BUILD,school,1,5
flag,Objects,found on the mast,S-LOC,mast,1,5
flag,Objects,is light blue and white,E-EXSURF,light blue and white,4,6
flamingo,Animals,a bird,T-SUPER,bird,1,14
flamingo,Animals,is colorful,E-EXSURF,colorful,1,6
flamingo,Animals,is pink,T-SUPER,pink,1,15
flamingo,Animals,lives in the water,S-LOC,water,1,15
flamingo,Animals,stands on one leg,E-BEH,legs,1,5
flashlight,Tools,a tool,T-SUPER,tool,1,5
flashlight,Tools,is useful,I-EVAL,useful,1,7
flashlight,Tools,has batteries,E-INCOMP,batteries,1,16
flashlight,Tools,produces light,E-BEH,light,1,14
flashlight,Tools,used for lighting up,S-FUNC,lighting up,2,20
flashlight,Tools,made of metal,E-MAT,metal,1,6
flashlight,Tools,made of plastic,E-MAT,plastic,1,8
flower,Plants,is nice,I-EVAL,nice,1,9
flower,Plants,eg - pink,E-EXSURF,pink,1,8
flower,Plants,present,S-ACTION,present,1,7
flower,Plants,spring,S-TIME,spring,1,8
flower,Plants,used for decorating,S-FUNC,decorating,1,7
flower,Plants,different colors,E-EXSURF,colors,1,11
flower,Plants,has perfume,E-EXSURF,perfume,1,22
flower,Plants,has petals,E-EXCOMP,petals,1,7
flower,Plants,found in the garden,S-LOC,garden,1,8
flute,Musical instruments,is blown,S-ACTION,blown,1,6
flute,Musical instruments,music,S-FUNC,music,1,17
flute,Musical instruments,orchestra,E-WHOLE,orchestra,1,6
flute,Musical instruments,school,S-LOC,school,1,5
flute,Musical instruments,sound,S-FUNC,sound,1,11
flute,Musical instruments,a musical instrument,T-SUPER,musical instrument,2,16
flute,Musical instruments,eg - sweet flute,T-SUBORD,sweet flute,2,7
flute,Musical instruments,a wind musical intrument,T-SUPER,wind musical intrument,3,6
fly,Animals,annoying,I-EVAL,annoying,1,16
fly,Animals,is dirty,I-EVAL,dirty,1,9
fly,Animals,is disgusting,I-EVAL,disgusting,1,9
fly,Animals,flies,E-BEH,flies,1,8
fly,Animals,an insect,T-SUPER,insect,1,12
fly,Animals,is ugly,I-EVAL,ugly,1,7
fly,Animals,has wings,E-EXCOMP,wings,1,6
foot,Body parts,a part of the body,E-WHOLE,body,1,10
foot,Body parts,shoe,S-OBJECT,shoe,1,8
foot,Body parts,used for walking,S-FUNC,walking,1,20
foot,Body parts,has fingers,E-EXCOMP,fingers,1,10
foot,Body parts,has nails,E-EXCOMP,nails,1,6
foot,Body parts,serves as a support,S-FUNC,support,1,7
foot,Body parts,is the support of the body,S-FUNC,body,1,5
fork,Utensils,food,S-OBJECT,food,1,5
fork,Utensils,used for eating,S-FUNC,eating,1,20
fork,Utensils,is useful,I-EVAL,useful,1,9
fork,Utensils,a utensil,T-SUPER,utensil,1,13
fork,Utensils,has teeth,E-INCOMP,teeth,1,6
fork,Utensils,made of metal,E-MAT,metal,1,6
fork,Utensils,found in the kitchen,S-LOC,kitchen,1,8
fox,Animals,an animal,T-SUPER,animal,1,20
fox,Animals,is clever,E-SYS,clever,1,10
fox,Animals,a mammal,T-SUPER,mammal,1,10
fox,Animals,a quadruped,T-SUPER,quadruped,1,8
fox,Animals,is wild,E-SYS,wild,1,10
fox,Animals,has legs,E-EXCOMP,legs,1,6
fox,Animals,used for making warm clothing,S-ACTION,clothing,1,5
fox,Animals,has a tail,E-EXCOMP,tail,1,7
fox,Animals,it's fur is used,S-ACTION,fur,1,8
fox,Animals,lives in the countryside,S-LOC,countryside,1,5
franch horn,Musical instruments,is big,E-QUANT,big,1,5
franch horn,Musical instruments,is golden,E-EXSURF,golden,1,5
franch horn,Musical instruments,orchestra,E-WHOLE,orchestra,1,11
franch horn,Musical instruments,sound,S-FUNC,sound,1,5
franch horn,Musical instruments,used for making music,S-FUNC,music,1,13
franch horn,Musical instruments,a musical instrument,T-SUPER,musical instrument,2,28
franch horn,Musical instruments,made of metal,E-MAT,metal,1,7
franch horn,Musical instruments,a wind musical intrument,T-SUPER,wind musical intrument,3,7
frying pan,Utensils,kitchen,S-LOC,kitchen,1,8
frying pan,Utensils,oil,S-OBJECT,oil,1,7
frying pan,Utensils,eg - teflon,E-MAT,teflon,1,6
frying pan,Utensils,used for cooking,S-FUNC,cooking,1,10
frying pan,Utensils,used for frying,S-FUNC,frying,1,6
frying pan,Utensils,used for making pancakes,S-FUNC,pancakes,1,6
frying pan,Utensils,used to make food,S-FUNC,food,1,9
frying pan,Utensils,has grip,E-EXCOMP,grip,1,10
frying pan,Utensils,used for cooking eggs,S-FUNC,cooking,1,10
frying pan,Utensils,used for making breaded meet,S-FUNC,breaded meat,2,5
frying pan,Utensils,used for making fried food,S-FUNC,fried food,2,5
frying pan,Utensils,used for making Spanish tortilla,S-FUNC,Spanish tortilla,2,NA
funnel,Utensils,bottle,S-OBJECT,bottle,1,5
funnel,Utensils,used for transfering liquids,S-FUNC,transfer,1,12
funnel,Utensils,used for transfering liquids,S-FUNC,transfer,1,5
funnel,Utensils,is useful,I-EVAL,useful,1,11
funnel,Utensils,a utensil,T-SUPER,utensil,1,9
funnel,Utensils,made of metal,E-MAT,metal,1,10
funnel,Utensils,made of plastic,E-MAT,plastic,1,18
