cue,response,humanA1,humanA2,humanB1,humanB2,frequency,model1,model2
ghost,scary,I,I-eval,E,E-prop,4,I,I-emo
ghost,white,E,E-prop,E,E-prop,9,E,E-prop
girl,boy,T,T-ant,T,T-ant,18,T,T-coord
girl,child,E,E-state,E,E-prop,5,T,T-super
girl,female,E,E-prop,E,E-prop,7,T,T-syn
girl,friend,S,S-agent,S,S-agent,6,T,T-coord
girl,woman,T,T-super,T,T-ant,10,T,T-syn
girlfriend,boyfriend,T,T-ant,T,T-ant,13,T,T-ant
girlfriend,love,I,I-emo,E,E-prop,7,I,I-emo
girlfriend,lover,T,T-super,E,E-prop,5,T,T-syn
girlfriend,partner,T,T-super,E,E-prop,5,T,T-syn
goose,egg,S,S-obj,S,S-obj,4,E,E-beh
goose,gander,T,T-sub,T,T-ant,7,T,T-coord
government,big,S,S-targetstate,S,S-targetstate,2,E,E-prop
government,people,E,E-comp,E,E-comp,2,T,T-super
government,politics,E,E-prop,E,E-prop,6,T,T-super
government,rule,E,E-beh,E,E-beh,3,E,E-beh
grape,juice,E,E-whole,E,E-prop,8,S,S-obj
grape,vine,E,E-whole,E,E-whole,7,E,E-whole
grape,wine,E,E-whole,E,E-whole,17,S,S-obj
grass,green,E,E-prop,E,E-prop,28,E,E-prop
grass,lawn,E,E-whole,E,E-whole,9,T,T-super
guest,friend,T,T-coord,S,S-targetstate,9,T,T-coord
guest,home,S,S-loc,S,S-loc,2,S,S-loc
guest,host,T,T-ant,T,T-ant,3,T,T-ant
gym,exercise,S,S-function,S,S-action,13,S,S-function
gym,fitness,S,S-function,S,S-function,2,S,S-function
gym,weights,S,S-obj,S,S-obj,8,S,S-obj
gym,work out,S,S-function,S,S-action,2,S,S-function
gym,workout,S,S-action,S,S-action,5,S,S-function
ham,bacon,T,T-coord,T,T-coord,5,T,T-coord
ham,pig,E,E-whole,E,E-whole,13,T,T-sub
ham,pork,T,T-super,T,T-super,6,T,T-syn
ham,sandwich,S,S-obj,S,S-obj,10,S,S-obj
hammer,nail,S,S-obj,S,S-obj,22,S,S-obj
hammer,nails,S,S-obj,S,S-obj,3,S,S-obj
hamster,animal,T,T-super,T,T-super,3,T,T-super
hamster,gerbil,T,T-coord,T,T-coord,4,T,T-coord
hamster,pet,T,T-super,T,T-super,10,T,T-super
hamster,rodent,T,T-super,T,T-super,9,T,T-super
hand,foot,T,T-coord,T,T-ant,5,T,T-coord
hand,give,T,T-syn,S,S-action,4,S,S-action
hand,left,E,E-prop,E,E-state,3,E,E-prop
handkerchief,cold,S,S-context,S,S-context,2,S,S-obj
handkerchief,napkin,T,T-syn,T,T-coord,2,T,T-syn
handkerchief,sneeze,S,S-action,S,S-action,7,S,S-function
handkerchief,tissue,T,T-syn,T,T-coord,6,T,T-syn
head,ache,S,S-targetstate,S,S-targetstate,3,E,E-prop
head,brain,T,T-syn,E,E-prop,5,E,E-whole
head,hair,E,E-comp,E,E-comp,7,E,E-comp
head,shoulders,T,T-coord,T,T-coord,3,E,E-whole
head,top,T,T-syn,E,E-state,5,E,E-whole
health,good,I,I-eval,E,E-state,6,I,I-eval
health,happiness,T,T-coord,I,I-emo,4,I,I-emo
health,wellbeing,T,T-coord,E,E-comp,5,T,T-syn
health,wellness,T,T-coord,E,E-prop,3,T,T-syn
heaven,earth,T,T-ant,T,T-ant,2,T,T-ant
height,length,T,T-coord,E,E-prop,3,T,T-coord
height,short,E,E-state,E,E-state,7,T,T-ant
height,tall,E,E-state,E,E-state,24,T,T-syn
height,weight,T,T-coord,T,T-coord,15,T,T-coord
helicopter,chopper,T,T-syn,T,T-syn,5,T,T-syn
hell,damnation,S,S-context,I,I-contin,4,I,I-contin
hell,fire,S,S-obj,S,S-obj,10,E,E-comp
hell,Hades,T,T-syn,T,T-syn,5,T,T-syn
hell,hot,E,E-prop,E,E-prop,6,E,E-prop
helmet,bike,S,S-obj,S,S-obj,11,S,S-obj
helmet,head,S,S-loc,S,S-loc,12,E,E-whole
helmet,motorcycle,S,S-obj,S,S-obj,5,S,S-obj
history,past,E,E-prop,E,E-prop,11,T,T-syn
history,story,T,T-syn,E,E-prop,5,T,T-syn
history,world,S,S-obj,S,S-obj,2,S,S-context
hobby,fun,E,E-prop,E,E-prop,6,I,I-eval
hobby,pastime,T,T-syn,T,T-syn,5,T,T-syn
hole,ass,T,T-sub,E,E-whole,4,T,T-coord
hole,dig,S,S-action,S,S-action,7,S,S-action
hole,golf,S,S-action,S,S-obj,4,S,S-loc
hole,ground,S,S-loc,S,S-loc,8,E,E-whole
hole,pit,T,T-syn,E,E-state,3,T,T-syn
horse,buggy,S,S-obj,S,S-obj,2,S,S-obj
horse,pony,T,T-sub,T,T-sub,3,T,T-coord
humor,funny,E,E-prop,E,E-prop,22,T,T-syn
husband,dead,S,S-targetstate,S,S-targetstate,1,E,E-state
husband,man,E,E-prop,E,E-prop,10,T,T-super
husband,wife,T,T-ant,T,T-ant,23,T,T-ant
ice,snow,E,E-state,E,E-state,6,T,T-coord
ice,water,E,E-state,E,E-state,11,T,T-syn
identity,me,I,I-contin,E,E-prop,4,I,I-contin
identity,self,T,T-syn,E,E-comp,9,T,T-syn
idol,God,T,T-coord,S,S-obj,6,T,T-syn
idol,gold,E,E-comp,E,E-comp,3,E,E-comp
idol,worship,S,S-context,S,S-action,9,S,S-action
import,bring in,T,T-syn,T,T-syn,2,T,T-syn
import,car,S,S-obj,S,S-obj,1,S,S-obj
import,export,T,T-ant,T,T-ant,17,T,T-ant
import,goods,S,S-obj,S,S-obj,5,S,S-obj
impression,art,T,T-super,T,T-super,4,S,S-obj
insect,six legs,E,E-comp,E,E-comp,1,E,E-prop
insect,spider,T,T-sub,T,T-coord,3,T,T-coord
insurance,car,T,T-sub,S,S-targetstate,7,S,S-obj
insurance,claim,S,S-action,S,S-action,5,S,S-obj
insurance,fraud,S,S-action,S,S-action,3,S,S-context
interview,job,T,T-sub,S,S-targetstate,18,S,S-function
interview,question,S,S-obj,S,S-action,3,S,S-action
interview,questions,S,S-obj,S,S-obj,3,S,S-obj
iron,steel,T,T-coord,T,T-sub,4,T,T-syn
island,beach,E,E-comp,E,E-comp,5,S,S-loc
island,isle,T,T-syn,T,T-syn,2,T,T-syn
island,sea,S,S-loc,S,S-loc,3,S,S-loc
jeans,blue,E,E-prop,E,E-comp,19,E,E-prop
jeans,denim,E,E-comp,E,E-comp,11,E,E-comp
joke,funny,E,E-prop,E,E-prop,22,I,I-eval
joke,jester,S,S-agent,S,S-agent,1,S,S-obj
juice,apple,T,T-sub,T,T-sub,14,E,E-comp
juice,box,S,S-loc,S,S-loc,2,E,E-comp
juice,drink,T,T-super,S,S-action,6,S,S-action
juice,fruit,T,T-sub,E,E-state,7,E,E-comp
juice,orange,T,T-sub,T,T-sub,24,E,E-comp
killer,bees,T,T-super,T,T-super,2,T,T-coord
king,crown,E,E-comp,E,E-comp,7,E,E-comp
king,knight,S,S-agent,S,S-agent,2,T,T-super
king,queen,T,T-ant,T,T-ant,21,T,T-coord
king,royal,E,E-prop,E,E-prop,3,E,E-prop
king,ruler,T,T-super,E,E-prop,5,T,T-syn
kingdom,animal,T,T-sub,T,T-sub,3,T,T-super
kingdom,castle,S,S-loc,S,S-obj,4,T,T-syn
kingdom,England,T,T-sub,T,T-sub,3,S,S-loc
kingdom,king,E,E-comp,E,E-comp,12,E,E-comp
kitchen,cook,S,S-function,E,E-comp,9,S,S-action
kitchen,cooking,S,S-function,E,E-comp,4,S,S-action
kitchen,table,S,S-obj,S,S-obj,3,S,S-obj
kite,bird,T,T-super,T,T-super,2,T,T-coord
kite,fly,S,S-function,E,E-beh,18,E,E-beh
kite,wind,S,S-obj,S,S-obj,7,S,S-obj
knee,bend,S,S-action,S,S-action,8,E,E-beh
knee,joint,T,T-super,T,T-super,11,E,E-comp
knowledge,intelligence,E,E-whole,E,E-prop,5,T,T-syn
knowledge,smart,E,E-prop,E,E-prop,6,I,I-eval
lake,blue,E,E-prop,E,E-prop,3,E,E-prop
language,speech,S,S-action,E,E-comp,3,T,T-syn
language,words,E,E-comp,E,E-comp,6,E,E-comp
lantern,candle,T,T-coord,T,T-sub,3,E,E-comp
lantern,lamp,E,E-comp,T,T-syn,6,T,T-syn
lantern,light,T,T-super,E,E-prop,26,E,E-comp
law,lawyer,S,S-agent,S,S-agent,7,T,T-super
law,order,I,I-contin,E,E-prop,7,T,T-syn
law,rule,T,T-syn,E,E-prop,8,T,T-syn
leaf,book,E,E-comp,E,E-whole,2,S,S-obj
leaf,green,E,E-prop,E,E-prop,16,E,E-prop
leaf,tree,E,E-whole,E,E-whole,22,E,E-whole
leather,cow,E,E-whole,E,E-prop,11,E,E-whole
leg,arm,T,T-ant,T,T-ant,16,T,T-coord
leg,foot,T,T-coord,E,E-comp,8,E,E-whole
legend,myth,T,T-coord,T,T-super,7,T,T-syn
legend,story,T,T-super,T,T-super,14,T,T-syn
legend,tale,T,T-coord,T,T-syn,7,T,T-syn
letter,envelope,S,S-obj,S,S-obj,6,E,E-whole
letter,mail,S,S-loc,S,S-loc,13,T,T-syn
letter,post,S,S-action,S,S-action,3,S,S-action
lettuce,green,E,E-prop,E,E-prop,15,E,E-prop
lettuce,salad,T,T-syn,S,S-obj,18,S,S-obj
library,book,S,S-obj,E,E-comp,7,S,S-obj
library,librarian,S,S-agent,S,S-agent,7,S,S-agent
library,quiet,E,E-state,E,E-prop,9,S,S-context
light,bright,E,E-state,E,E-prop,8,E,E-prop
light,sun,T,T-sub,T,T-super,5,T,T-super
link,chain,T,T-coord,S,S-obj,20,T,T-syn
link,join,T,T-syn,E,E-prop,5,T,T-syn
link,together,E,E-prop,S,S-context,4,E,E-beh
lobster,fish,T,T-super,S,S-agent,3,T,T-coord
lobster,food,T,T-super,T,T-super,3,T,T-coord
lobster,red,E,E-prop,E,E-prop,16,E,E-prop
logic,brain,I,I-contin,S,S-obj,2,S,S-loc
logic,math,T,T-coord,T,T-coord,6,T,T-coord
logic,reason,T,T-syn,E,E-comp,7,T,T-syn
logic,smart,I,I-contin,E,E-prop,4,E,E-prop
lover,love,E,E-prop,E,E-prop,4,S,S-function
lover,partner,T,T-syn,S,S-targetstate,4,T,T-syn
lover,sex,S,S-action,S,S-action,13,S,S-action
lover,wife,T,T-super,S,S-targetstate,4,T,T-syn
luggage,baggage,T,T-syn,T,T-syn,10,T,T-syn
luggage,bags,T,T-syn,T,T-syn,5,T,T-syn
luggage,travel,S,S-time,E,E-whole,9,S,S-function
lunch,food,T,T-super,E,E-comp,8,T,T-super
lunch,sandwich,S,S-obj,S,S-obj,10,S,S-obj
lung,air,S,S-obj,E,E-comp,11,E,E-comp
lung,breath,S,S-obj,E,E-comp,9,E,E-beh
lung,breathe,S,S-function,E,E-beh,13,S,S-function
machine,engine,E,E-comp,E,E-comp,4,E,E-comp
machine,washing,T,T-sub,T,T-super,3,S,S-function
machine,work,S,S-action,E,E-prop,3,S,S-function
mammal,cat,T,T-sub,T,T-sub,4,T,T-super
mandarin,Chinese,E,E-prop,E,E-whole,17,T,T-syn
mango,tree,E,E-whole,E,E-whole,1,E,E-whole
map,atlas,E,E-whole,E,E-whole,3,T,T-syn
map,geography,E,E-whole,E,E-whole,5,T,T-syn
map,Google,T,T-sub,T,T-sub,3,S,S-agent
map,world,T,T-sub,T,T-sub,6,S,S-obj
market,shop,E,E-comp,E,E-comp,5,T,T-syn
market,store,E,E-comp,E,E-comp,7,T,T-syn
marriage,divorce,T,T-ant,T,T-ant,4,T,T-ant
marriage,love,E,E-prop,E,E-comp,10,S,S-obj
marriage,wedding,T,T-syn,S,S-time,11,T,T-syn
material,cloth,T,T-sub,T,T-sub,7,T,T-syn
material,fabric,T,T-syn,T,T-sub,10,T,T-syn
meat,cow,E,E-whole,T,T-sub,4,T,T-super
meat,red,E,E-prop,E,E-prop,5,E,E-prop
meeting,business,T,T-sub,T,T-sub,5,S,S-obj
meeting,gathering,T,T-syn,T,T-syn,4,T,T-syn
meeting,work,T,T-sub,T,T-sub,5,S,S-function
melody,harmony,T,T-coord,T,T-coord,6,T,T-coord
melody,rhythm,T,T-coord,E,E-comp,2,T,T-coord
melody,song,E,E-whole,E,E-whole,23,T,T-super
melody,tune,T,T-syn,T,T-syn,13,T,T-syn
melon,ball,E,E-prop,S,S-targetstate,2,T,T-coord
melon,cantaloupe,T,T-sub,T,T-sub,5,T,T-coord
melon,water,T,T-sub,T,T-sub,9,E,E-comp
melon,watermelon,T,T-sub,T,T-sub,6,T,T-super
method,process,T,T-syn,E,E-comp,3,T,T-syn
method,scientific,T,T-sub,T,T-sub,5,T,T-syn
microscope,science,S,S-obj,E,E-whole,12,S,S-obj
microscope,slide,S,S-obj,E,E-comp,5,S,S-obj
milk,bottle,S,S-loc,S,S-loc,3,S,S-obj
milk,carton,S,S-loc,S,S-loc,1,E,E-whole
milk,cow,E,E-whole,T,T-sub,15,S,S-obj
miner,coal,S,S-obj,S,S-obj,20,S,S-obj
miner,gold,S,S-obj,S,S-obj,6,S,S-obj
miner,underground,S,S-loc,S,S-loc,3,S,S-loc
mint,fresh,E,E-prop,E,E-prop,9,E,E-prop
mint,money,S,S-obj,S,S-obj,4,I,I-contin
miracle,religion,E,E-whole,E,E-whole,4,T,T-coord
mirror,image,S,S-obj,S,S-obj,7,E,E-comp
mirror,wall,S,S-loc,S,S-loc,6,S,S-loc
money,cash,T,T-sub,T,T-sub,13,T,T-syn
money,currency,T,T-super,E,E-whole,3,T,T-syn
money,green,E,E-prop,E,E-prop,4,S,S-context
monkey,ape,T,T-coord,T,T-super,10,T,T-coord
monkey,primate,T,T-coord,T,T-super,3,T,T-super
monster,bed,S,S-loc,S,S-loc,3,S,S-loc
monster,evil,E,E-state,E,E-state,3,I,I-eval
monster,green,E,E-prop,E,E-prop,6,E,E-prop
mood,feeling,T,T-super,E,E-comp,6,T,T-syn
mood,happy,T,T-sub,T,T-sub,8,E,E-state
mood,swing,S,S-action,S,S-targetstate,4,E,E-state
moon,full,E,E-state,E,E-state,5,E,E-state
moon,stars,T,T-coord,T,T-coord,5,T,T-coord
moon,sun,T,T-coord,T,T-coord,11,T,T-ant
moonlight,romance,I,I-contin,I,I-emo,5,I,I-emo
mountain,high,E,E-prop,E,E-prop,6,E,E-prop
mountain,top,E,E-comp,E,E-comp,5,E,E-comp
muscle,arm,E,E-whole,E,E-whole,3,E,E-whole
muscle,fiber,E,E-comp,E,E-comp,3,E,E-comp
muscle,strength,E,E-prop,E,E-prop,6,E,E-prop
museum,history,S,S-context,E,E-prop,9,S,S-loc
nature,green,E,E-prop,E,E-prop,6,E,E-prop
nature,natural,E,E-prop,E,E-prop,3,T,T-syn
nature,outdoors,T,T-syn,E,E-prop,5,T,T-syn
nature,trees,E,E-comp,E,E-comp,8,S,S-obj
neck,head,T,T-coord,T,T-coord,12,E,E-whole
necklace,chain,E,E-prop,T,T-sub,5,E,E-comp
necklace,neck,S,S-loc,S,S-loc,8,E,E-whole
necklace,pearl,E,E-comp,E,E-comp,8,E,E-comp
necklace,pearls,E,E-comp,E,E-comp,6,E,E-comp
nerve,brain,E,E-whole,E,E-whole,7,E,E-whole
nerve,ending,E,E-comp,E,E-comp,5,E,E-comp
nerve,endings,E,E-comp,E,E-comp,2,E,E-comp
news,good,I,I-eval,E,E-state,2,I,I-eval
news,newspaper,E,E-whole,E,E-whole,3,T,T-syn
news,sports,E,E-comp,E,E-comp,1,T,T-coord
noise,loud,E,E-state,E,E-state,19,E,E-prop
noise,music,T,T-super,S,S-targetstate,4,T,T-ant
noise,sound,T,T-syn,E,E-comp,7,T,T-syn
noise,white,T,T-sub,S,S-targetstate,3,T,T-ant
noon,afternoon,T,T-coord,T,T-coord,5,T,T-coord
noon,day,E,E-prop,E,E-prop,6,T,T-coord
noon,high,E,E-prop,E,E-prop,7,S,S-time
noon,lunch,S,S-time,S,S-time,11,S,S-time
notebook,movie,I,I-contin,I,I-contin,5,T,T-ant
notebook,paper,E,E-comp,E,E-comp,12,E,E-comp
notebook,write,S,S-function,S,S-function,4,S,S-action
notebook,writing,S,S-function,S,S-function,5,S,S-function
novel,book,T,T-super,E,E-comp,29,T,T-syn
novel,story,T,T-syn,E,E-comp,7,T,T-syn
nurse,care,S,S-function,E,E-beh,4,S,S-action
nurse,doctor,T,T-coord,S,S-agent,16,T,T-coord
nurse,white,E,E-prop,E,E-comp,3,E,E-prop
nut,crazy,T,T-syn,T,T-syn,9,I,I-contin
nut,peanut,T,T-sub,T,T-sub,7,T,T-coord
nut,shell,E,E-comp,E,E-comp,5,E,E-comp
ocean,blue,E,E-prop,E,E-prop,8,E,E-prop
ocean,salt,E,E-comp,E,E-comp,4,E,E-comp
ocean,vast,E,E-prop,E,E-prop,5,E,E-prop
office,business,E,E-whole,E,E-whole,2,S,S-function
office,cubicle,E,E-comp,E,E-comp,3,S,S-loc
office,desk,S,S-obj,S,S-obj,7,S,S-obj
office,space,T,T-super,T,T-super,3,E,E-whole
oil,black,E,E-prop,E,E-prop,6,E,E-prop
oil,gas,T,T-coord,T,T-coord,4,T,T-coord
oil,olive,T,T-sub,T,T-sub,5,E,E-comp
oil,spill,S,S-action,S,S-targetstate,6,S,S-action
onion,garlic,T,T-coord,S,S-obj,4,T,T-coord
onion,peel,S,S-action,E,E-comp,6,S,S-action
onion,tears,S,S-context,S,S-context,5,E,E-beh
organ,pipe,E,E-comp,E,E-comp,6,E,E-comp
orphan,alone,E,E-prop,E,E-prop,9,E,E-state
orphan,child,E,E-prop,E,E-prop,12,T,T-syn
orphan,lonely,I,I-eval,E,E-prop,4,I,I-emo
orphan,parentless,E,E-prop,E,E-prop,5,E,E-state
oven,bake,S,S-function,S,S-function,12,S,S-function
oven,cooking,S,S-function,S,S-function,5,S,S-function
oven,hot,E,E-prop,E,E-prop,13,E,E-prop
oven,stove,T,T-syn,S,S-obj,8,T,T-coord
owl,hoot,E,E-beh,E,E-beh,10,E,E-beh
owl,night,S,S-time,S,S-time,14,S,S-time
owl,wise,I,I-eval,I,I-eval,3,I,I-eval
palace,big,E,E-prop,E,E-prop,3,E,E-prop
palace,royalty,S,S-agent,E,E-prop,5,S,S-agent
parachute,falling,S,S-targetstate,S,S-context,3,S,S-action
parachute,plane,S,S-obj,S,S-obj,9,S,S-obj
paragraph,essay,E,E-whole,E,E-whole,4,E,E-whole
paragraph,sentence,E,E-comp,E,E-comp,12,T,T-super
paragraph,sentences,E,E-comp,E,E-comp,4,E,E-whole
paragraph,words,E,E-comp,E,E-comp,5,E,E-comp
parrot,green,E,E-prop,E,E-prop,6,E,E-prop
parrot,repeat,E,E-beh,E,E-beh,6,E,E-beh
parrot,talk,E,E-beh,E,E-beh,3,E,E-beh
part,whole,T,T-ant,T,T-ant,8,T,T-super
password,code,T,T-syn,E,E-comp,5,T,T-syn
password,computer,S,S-obj,S,S-obj,5,S,S-obj
password,key,E,E-comp,E,E-comp,5,S,S-obj
password,secret,E,E-prop,E,E-prop,11,T,T-coord
password,security,E,E-whole,S,S-function,6,S,S-function
peace,calm,T,T-coord,T,T-coord,5,T,T-syn
peace,love,I,I-emo,T,T-coord,12,I,I-contin
peace,war,T,T-ant,T,T-ant,9,T,T-ant
peanut,food,T,T-super,T,T-super,2,T,T-super
peanut,nut,T,T-super,T,T-super,2,T,T-syn
penguin,tuxedo,I,I-contin,I,I-contin,6,I,I-contin
pepper,black,E,E-prop,E,E-prop,7,E,E-prop
pepper,hot,E,E-prop,E,E-prop,5,E,E-prop
pepper,red,E,E-prop,E,E-prop,3,E,E-prop
pepper,salt,T,T-ant,S,S-obj,24,T,T-coord
phenomenon,happening,S,S-action,T,T-syn,6,T,T-syn
phenomenon,unusual,S,S-targetstate,S,S-targetstate,3,E,E-prop
philosophy,Greek,E,E-prop,T,T-sub,2,S,S-context
philosophy,science,T,T-super,T,T-coord,2,T,T-coord
philosophy,study,S,S-action,S,S-action,5,S,S-function
philosophy,thought,S,S-targetstate,E,E-comp,4,S,S-obj
photo,camera,S,S-obj,S,S-obj,11,S,S-obj
photo,image,T,T-syn,E,E-prop,3,T,T-syn
photo,memory,I,I-contin,S,S-context,4,I,I-contin
physics,quantum,T,T-sub,T,T-sub,2,T,T-sub
picnic,basket,S,S-obj,S,S-obj,14,S,S-obj
picnic,blanket,S,S-obj,S,S-obj,12,S,S-obj
picnic,food,S,S-obj,S,S-obj,9,S,S-obj
picnic,lunch,S,S-time,S,S-time,3,S,S-obj
picnic,table,S,S-obj,S,S-obj,5,S,S-obj
pig,pork,T,T-syn,S,S-targetstate,5,T,T-super
pirate,Carribean,S,S-loc,S,S-loc,2,S,S-loc
pirate,parrot,S,S-agent,S,S-agent,4,S,S-obj
pirate,ship,S,S-obj,S,S-obj,17,S,S-loc
pizza,cheese,E,E-comp,E,E-comp,15,E,E-comp
pizza,pepperoni,E,E-comp,E,E-comp,9,E,E-comp
plan,action,S,S-action,S,S-targetstate,1,S,S-function
plan,map,T,T-syn,S,S-obj,5,T,T-syn
platform,dais,T,T-sub,T,T-syn,1,T,T-syn
platform,train,S,S-obj,S,S-obj,8,S,S-loc
pocket,jeans,E,E-whole,E,E-whole,5,E,E-whole
pocket,pants,E,E-whole,E,E-whole,7,E,E-comp
poem,English,E,E-prop,E,E-prop,2,S,S-obj
poem,love,T,T-sub,T,T-sub,4,I,I-emo
poem,rhyme,E,E-prop,E,E-prop,8,E,E-prop
poem,verse,E,E-comp,E,E-comp,3,E,E-whole
poet,poem,S,S-obj,E,E-prop,6,S,S-function
policy,government,S,S-obj,E,E-whole,5,S,S-agent
policy,insurance,T,T-sub,T,T-sub,5,T,T-syn
policy,plan,T,T-syn,T,T-syn,4,T,T-syn
policy,public,T,T-sub,T,T-sub,3,S,S-agent
policy,rule,T,T-syn,E,E-comp,6,T,T-syn
pork,chop,S,S-targetstate,S,S-targetstate,3,E,E-comp
pork,chops,S,S-targetstate,S,S-targetstate,3,E,E-comp
pork,meat,T,T-super,T,T-super,9,T,T-syn
pork,pig,T,T-syn,E,E-whole,23,T,T-super
poster,picture,T,T-coord,E,E-comp,6,T,T-syn
potato,chip,S,S-targetstate,S,S-targetstate,4,E,E-comp
potato,chips,S,S-targetstate,S,S-targetstate,5,E,E-comp
potato,tomato,T,T-coord,T,T-coord,5,T,T-coord
practice,law,S,S-obj,T,T-sub,2,T,T-super
practice,work,T,T-syn,E,E-prop,3,T,T-syn
pressure,blood,E,E-whole,E,E-whole,3,E,E-prop
pressure,force,T,T-coord,E,E-prop,4,T,T-syn
pressure,stress,I,I-contin,T,T-syn,12,T,T-syn
pressure,tire,E,E-whole,E,E-whole,3,E,E-comp
process,computer,E,E-whole,E,E-whole,2,S,S-obj
process,server,E,E-whole,E,E-whole,1,S,S-agent
process,think,S,S-action,S,S-action,3,I,I-contin
product,thing,T,T-super,T,T-super,4,T,T-syn
project,plan,S,S-obj,S,S-obj,2,S,S-obj
project,school,S,S-loc,S,S-loc,3,S,S-loc
psychologist,brain,S,S-context,S,S-context,4,S,S-obj
psychologist,mind,S,S-obj,S,S-context,5,S,S-obj
psychologist,psychiatrist,T,T-coord,T,T-coord,2,T,T-coord
psychology,brain,S,S-obj,S,S-context,8,S,S-loc
psychology,doctor,T,T-coord,S,S-agent,1,S,S-agent
psychology,mind,S,S-obj,S,S-context,11,T,T-super
pudding,chocolate,T,T-sub,T,T-sub,15,E,E-comp
pudding,sweet,E,E-prop,E,E-prop,6,E,E-prop
pudding,vanilla,T,T-sub,T,T-sub,4,E,E-comp
pumpkin,patch,S,S-loc,S,S-loc,2,S,S-loc
pumpkin,squash,T,T-syn,T,T-coord,5,T,T-coord
pyramid,Egypt,S,S-loc,S,S-loc,26,S,S-loc
pyramid,Egyptian,S,S-loc,S,S-loc,3,S,S-context
pyramid,Giza,S,S-loc,S,S-loc,2,S,S-loc
pyramid,triangle,E,E-prop,E,E-prop,8,T,T-syn
quality,good,E,E-state,E,E-state,10,I,I-eval
quality,high,E,E-state,E,E-state,3,E,E-state
quality,quantity,T,T-ant,T,T-ant,8,T,T-ant
rabbit,bunny,T,T-syn,T,T-syn,15,T,T-syn
rabbit,hare,T,T-sub,T,T-coord,6,T,T-syn
rabbit,white,E,E-prop,E,E-prop,4,E,E-prop
radiation,cancer,S,S-context,S,S-context,7,I,I-contin
radiation,nuclear,T,T-sub,T,T-sub,9,E,E-prop
radio,broadcast,S,S-action,S,S-function,3,E,E-beh
radio,music,S,S-function,S,S-obj,12,S,S-obj
radio,news,S,S-obj,S,S-obj,5,S,S-function
rain,cloud,S,S-obj,S,S-obj,4,E,E-whole
rain,drop,S,S-action,E,E-state,3,E,E-comp
rain,snow,T,T-coord,T,T-coord,4,T,T-coord
rain,water,E,E-comp,E,E-comp,10,T,T-syn
rainbow,color,E,E-comp,E,E-prop,6,E,E-prop
rainbow,colors,E,E-comp,E,E-prop,11,E,E-comp
rainbow,double,S,S-targetstate,S,S-targetstate,3,E,E-prop
raincoat,Mac,T,T-syn,T,T-sub,4,T,T-coord
raincoat,rain,S,S-time,S,S-time,9,S,S-function
raincoat,slicker,T,T-syn,T,T-sub,2,T,T-syn
raincoat,yellow,E,E-prop,E,E-prop,9,E,E-prop
range,shooting,S,S-action,T,T-sub,2,S,S-action
rape,violence,S,S-targetstate,E,E-prop,5,S,S-obj
reality,life,I,I-contin,I,I-contin,7,T,T-syn
reality,truth,E,E-prop,E,E-prop,4,T,T-syn
record,music,S,S-obj,S,S-obj,8,E,E-comp
record,write,T,T-syn,S,S-action,4,S,S-action
refugee,camp,S,S-loc,S,S-loc,4,S,S-loc
relationship,love,I,I-emo,I,I-emo,14,E,E-state
relationship,marriage,S,S-targetstate,S,S-targetstate,5,T,T-sub
relationship,together,I,I-contin,E,E-prop,2,E,E-beh
religion,atheism,T,T-sub,T,T-ant,2,T,T-ant
religion,church,S,S-loc,S,S-loc,6,S,S-loc
religion,faith,E,E-prop,E,E-comp,6,T,T-syn
resident,alien,T,T-sub,T,T-sub,5,T,T-ant
resident,citizen,T,T-coord,T,T-sub,3,T,T-syn
respect,admire,T,T-coord,T,T-coord,4,T,T-syn
respect,Aretha,I,I-contin,I,I-contin,4,I,I-contin
respect,authority,S,S-obj,S,S-obj,2,S,S-function
respect,elders,S,S-agent,S,S-agent,1,S,S-agent
respect,honor,T,T-coord,T,T-coord,10,T,T-syn
rest,bed,S,S-loc,S,S-obj,4,S,S-loc
rest,nap,T,T-sub,T,T-sub,5,T,T-syn
rest,relax,T,T-sub,T,T-sub,7,T,T-syn
rest,sleep,T,T-sub,T,T-sub,19,T,T-syn
rest,stop,S,S-action,S,S-action,5,S,S-loc
revenge,evil,I,I-eval,I,I-eval,3,T,T-syn
revolution,Beatles,I,I-contin,I,I-contin,3,I,I-contin
revolution,change,E,E-prop,E,E-prop,7,S,S-action
revolution,evolution,T,T-coord,T,T-coord,2,T,T-coord
ride,bike,S,S-obj,S,S-obj,10,S,S-action
ride,car,S,S-obj,S,S-obj,15,S,S-obj
ride,horse,S,S-agent,S,S-agent,16,S,S-action
ride,park,S,S-action,S,S-loc,3,S,S-loc
ride,roller coaster,T,T-sub,T,T-sub,2,S,S-function
risk,averse,S,S-context,S,S-context,1,T,T-ant
risk,danger,I,I-eval,I,I-eval,9,T,T-syn
risk,reward,I,I-contin,E,E-prop,5,I,I-contin
roof,ceiling,E,E-comp,E,E-comp,5,T,T-coord
roof,shingle,E,E-comp,E,E-comp,4,E,E-comp
roof,shingles,E,E-comp,E,E-comp,5,E,E-comp
roof,top,S,S-loc,S,S-loc,11,E,E-comp
room,bed,S,S-obj,S,S-obj,5,S,S-obj
room,bedroom,T,T-sub,T,T-sub,2,T,T-syn
room,house,E,E-whole,E,E-whole,6,E,E-whole
room,living,T,T-sub,T,T-sub,4,E,E-whole
