cue,category,response,nWords,frequency,human1,human2,model1,model2
camera,Devices,moments,1,6,I,I-REP,S,S-EVENT
camera,Devices,used to capture images,1,6,S,S-FUNC,S,S-FUNC
camera,Devices,used to keep riminders away,1,14,S,S-FUNC,S,S-FUNC
camera,Devices,eg - digital camera,2,9,T,T-SUBORD,T,T-SUBORD
camera,Devices,used for celebrating birthdays,1,5,S,S-FUNC,S,S-FUNC
camera,Devices,eg - film roll camera,3,5,T,T-SUBORD,E,E-EXCOMP
can,Containers,a container,1,5,T,T-SUPER,T,T-ONT
can,Containers,food,1,7,S,S-OBJECT,S,S-FUNC
can,Containers,used for storing,1,6,S,S-FUNC,S,S-FUNC
can,Containers,contains food,1,5,T,T-SUPER,E,E-INCOMP
can,Containers,sheet metal,2,6,E,E-MAT,E,E-MAT
candle,Objects,fire,1,7,S,S-OBJECT,S,S-OBJECT
candle,Objects,light,1,16,S,S-FUNC,S,S-FUNC
candle,Objects,used for praying,1,5,S,S-FUNC,S,S-FUNC
candle,Objects,used for lighting up,2,13,S,S-FUNC,S,S-FUNC
candle,Objects,used on birthday cakes,2,7,S,S-EVENT,S,S-FUNC
candle,Objects,made of wax,1,8,E,E-MAT,E,E-MAT
cannon,Weapons,death,1,6,S,S-SOCART,S,S-EVENT
cannon,Weapons,destruction,1,7,S,S-FUNC,S,S-FUNC
cannon,Weapons,a weapon,1,7,T,T-SUPER,T,T-SUBORD
cap,Clothing,is a cap,1,16,T,T-SUPER,T,T-SYN
cap,Clothing,made of fabric,1,5,E,E-MAT,E,E-MAT
cap,Clothing,made of wool,1,5,E,E-MAT,E,E-MAT
cap,Clothing,used for covering of the cold,1,8,S,S-FUNC,S,S-FUNC
car,Vehicles,is comfortable,1,6,I,I-EVAL,E,E-SYS
car,Vehicles,is fast,1,6,E,E-SYS,E,E-SYS
car,Vehicles,used for riding,1,7,S,S-FUNC,S,S-FUNC
car,Vehicles,used for traveling,1,8,S,S-FUNC,S,S-FUNC
car,Vehicles,has wheels,1,12,E,E-EXCOMP,E,E-EXCOMP
car,Vehicles,has an engine,1,6,E,E-INCOMP,E,E-INCOMP
car,Vehicles,a mean of transportation,1,12,T,T-SUPER,S,S-FUNC
carrot,Vegetables,is eaten,1,16,S,S-ACTION,S,S-ACTION
carrot,Vegetables,is grated,1,6,S,S-ACTION,S,S-ACTION
carrot,Vegetables,is orange,1,16,E,E-EXSURF,E,E-EXSURF
carrot,Vegetables,raw,1,5,E,E-INSURF,E,E-SYS
carrot,Vegetables,stew,1,5,E,E-WHOLE,S,S-OBJECT
carrot,Vegetables,a tuber,1,5,T,T-SUPER,T,T-SUBORD
carrot,Vegetables,used for making salad,1,18,S,S-ACTION,S,S-FUNC
carrot,Vegetables,a vegetable,1,15,T,T-SUPER,T,T-ONT
carrot,Vegetables,a vegetable,1,5,T,T-SUPER,T,T-ONT
carrot,Vegetables,has vitamins,1,5,E,E-INCOMP,E,E-SYS
carrot,Vegetables,eaten by rabbits,1,9,S,S-LIVING,E,E-BEH
cat,Animals,an animal,1,7,T,T-SUPER,T,T-ONT
cat,Animals,is cuddly,1,11,E,E-SYS,E,E-SYS
cat,Animals,a feline,1,8,T,T-SUPER,T,T-SYN
celery,Vegetables,is green,1,14,E,E-EXSURF,E,E-EXSURF
celery,Vegetables,a plant,1,7,T,T-SUPER,T,T-ONT
celery,Vegetables,a spice,1,5,T,T-SUPER,T,T-SUPER
celery,Vegetables,used for flavouring,1,5,S,S-FUNC,S,S-FUNC
celery,Vegetables,used for making salad,1,8,S,S-ACTION,S,S-FUNC
celery,Vegetables,a vegetable,1,13,T,T-SUPER,T,T-ONT
celery,Vegetables,a vegetable,1,5,T,T-SUPER,T,T-ONT
celery,Vegetables,has a leaf,1,7,E,E-EXCOMP,E,E-EXCOMP
centipede,Animals,an animal,1,8,T,T-SUPER,T,T-ONT
centipede,Animals,a bug,1,8,T,T-SUPER,T,T-SYN
centipede,Animals,an insect,1,10,T,T-SUPER,T,T-SYN
centipede,Animals,is long,1,10,E,E-QUANT,E,E-SYS
centipede,Animals,is small,1,8,E,E-QUANT,E,E-QUANT
centipede,Animals,has legs,1,10,E,E-EXCOMP,E,E-EXCOMP
chain,Tools,eg - bicycle,1,5,T,T-SUBORD,E,E-WHOLE
chain,Tools,an ornament,1,5,T,T-SUPER,S,S-FUNC
chain,Tools,safety,1,5,S,S-SOCART,S,S-FUNC
chain,Tools,used for joining,1,5,S,S-FUNC,S,S-FUNC
chain,Tools,used for tying,1,10,S,S-FUNC,S,S-FUNC
chain,Tools,has links,1,12,E,E-EXCOMP,E,E-EXCOMP
chain,Tools,made of gold,1,8,E,E-MAT,E,E-MAT
chain,Tools,made of iron,1,7,E,E-MAT,E,E-MAT
chain,Tools,made of metal,1,6,E,E-MAT,E,E-MAT
chain,Tools,made of silver,1,7,E,E-MAT,E,E-MAT
chair,Furniture,is comfortable,1,11,I,I-EVAL,E,E-SYS
chair,Furniture,seat,1,6,T,T-COORD,T,T-SYN
chair,Furniture,table,1,8,S,S-OBJECT,T,T-COORD
chair,Furniture,used for resting,1,6,S,S-FUNC,S,S-FUNC
chair,Furniture,used for sitting,1,12,S,S-FUNC,S,S-FUNC
chair,Furniture,made of metal,1,5,E,E-MAT,E,E-MAT
chair,Furniture,made of wood,1,13,E,E-MAT,E,E-MAT
cheese,Food,is creamy,1,6,E,E-EXSURF,E,E-INSURF
cheese,Food,a foodstuff,1,8,T,T-SUPER,T,T-SUBORD
cheese,Food,tastes good,1,10,I,I-EVAL,E,E-INSURF
cheese,Food,can be grated,1,11,S,S-ACTION,S,S-FUNC
cheese,Food,made of milk,1,10,E,E-MAT,E,E-MAT
cheese,Food,a product of the cow,1,5,S,S-LIVING,S,S-OBJECT
cherry,Fruits,a fruit,1,21,T,T-SUPER,T,T-SYN
cherry,Fruits,is red,1,21,E,E-EXSURF,E,E-EXSURF
cherry,Fruits,is small,1,10,E,E-QUANT,E,E-QUANT
cherry,Fruits,is sweet,1,18,E,E-INSURF,E,E-INSURF
cherry,Fruits,used for desserts,1,6,S,S-ACTION,S,S-FUNC
cherry,Fruits,tastes good,1,15,I,I-EVAL,I,I-EVAL
cherry,Fruits,has a pit,1,8,E,E-INCOMP,E,E-INCOMP
chest,Furniture,used for storing clothes,1,5,S,S-FUNC,S,S-FUNC
chest,Furniture,used for storing things,1,15,S,S-FUNC,S,S-FUNC
chest,Furniture,used to keep riminders away,1,13,S,S-FUNC,S,S-FUNC
chest,Furniture,made of wood,1,13,E,E-MAT,E,E-MAT
chest,Furniture,found in the car,1,9,S,S-LOC,S,S-LOC
chicken,Animals,a bird,1,5,T,T-SUPER,T,T-ONT
chicken,Animals,chicken,1,5,T,T-SYN,T,T-SYN
chicken,Animals,clucks,1,5,E,E-BEH,E,E-BEH
chicken,Animals,is eaten,1,12,S,S-ACTION,S,S-ACTION
chicken,Animals,used for making stew,1,5,S,S-ACTION,S,S-FUNC
chicken,Animals,eats corn,1,5,E,E-BEH,E,E-BEH
chicken,Animals,has feathers,1,13,E,E-EXCOMP,E,E-EXCOMP
chicken,Animals,lays eggs,1,27,E,E-BEH,E,E-BEH
chicken,Animals,little chicken,1,11,T,T-COORD,T,T-SUBORD
chicken,Animals,lives in the henhouse,1,8,S,S-LOC,S,S-LOC
chisel,Utensils,carrot,1,9,S,S-LIVING,S,S-OBJECT
chisel,Utensils,fruit,1,5,S,S-LIVING,S,S-OBJECT
chisel,Utensils,eg - metal,1,10,E,E-MAT,E,E-MAT
chisel,Utensils,potatoe,1,9,S,S-LIVING,S,S-OBJECT
chisel,Utensils,used for cutting,1,5,S,S-FUNC,S,S-FUNC
chisel,Utensils,is useful,1,9,I,I-EVAL,E,E-SYS
chisel,Utensils,a utensil,1,11,T,T-SUPER,T,T-SUPER
chisel,Utensils,found in the kitchen,1,11,S,S-LOC,S,S-LOC
chisel,Utensils,has a cutting edge,2,5,E,E-EXSURF,E,E-EXCOMP
church,Constructions,is big,1,6,E,E-QUANT,E,E-SYS
church,Constructions,god,1,5,S,S-SOCART,S,S-SOCORG
church,Constructions,mass,1,7,S,S-SOCART,S,S-EVENT
church,Constructions,pray,1,14,S,S-ACTION,S,S-ACTION
church,Constructions,priest,1,5,S,S-PERSON,S,S-PERSON
church,Constructions,religion,1,5,S,S-SOCART,S,S-SOCORG
church,Constructions,wedding,1,5,S,S-EVENT,S,S-EVENT
cigar,Objects,is big,1,5,E,E-QUANT,E,E-QUANT
cigar,Objects,is brown,1,6,E,E-EXSURF,E,E-EXSURF
cigar,Objects,causes_disease,1,8,E,E-SYS,S,S-EVENT
cigar,Objects,a cigar,1,16,T,T-SUPER,T,T-SYN
cigar,Objects,used for smoking,1,11,S,S-FUNC,S,S-FUNC
cigar,Objects,has tobacco,1,10,E,E-INCOMP,E,E-INCOMP
cigar,Objects,releases smoke,1,13,E,E-BEH,E,E-BEH
cigarette,Objects,causes_disease,1,9,E,E-SYS,S,S-EVENT
cigarette,Objects,illness,1,5,I,I-CONTIN,S,S-SOCORG
cigarette,Objects,paper,1,5,E,E-EXCOMP,E,E-MAT
cigarette,Objects,used for smoking,1,5,S,S-FUNC,S,S-FUNC
cigarette,Objects,is a vice,1,10,I,I-REP,I,I-EVAL
cigarette,Objects,causes cancer,1,8,S,S-ACTION,S,S-EVENT
cigarette,Objects,causes disease,1,5,I,I-EVAL,S,S-EVENT
cigarette,Objects,has nicotine,1,7,E,E-INCOMP,E,E-INCOMP
cigarette,Objects,has tobacco,1,13,E,E-INCOMP,E,E-INCOMP
cigarette,Objects,releases smoke,1,11,E,E-BEH,E,E-BEH
clock,Devices,alarm,1,6,S,S-FUNC,S,S-FUNC
clock,Devices,used for indicating time,1,11,S,S-FUNC,S,S-FUNC
clock,Devices,used for waking up,2,5,S,S-FUNC,S,S-FUNC
closet,Furniture,used for storing clothes,1,13,S,S-FUNC,S,S-FUNC
closet,Furniture,used for storing things,1,12,S,S-FUNC,S,S-FUNC
closet,Furniture,is useful,1,5,I,I-EVAL,I,I-EVAL
closet,Furniture,has doors,1,9,E,E-EXCOMP,E,E-EXCOMP
closet,Furniture,has drawers,1,5,E,E-EXCOMP,E,E-EXCOMP
closet,Furniture,made of wood,1,10,E,E-MAT,E,E-MAT
closet,Furniture,a piece of furniture,1,11,T,T-SUPER,T,T-SYN
clothespin,Utensils,used for hanging clothes,1,15,E,E-MAT,S,S-FUNC
clothespin,Utensils,is useful,1,5,I,I-EVAL,I,I-EVAL
clothespin,Utensils,made of plastic,1,11,E,E-MAT,E,E-MAT
clothespin,Utensils,made of wood,1,12,E,E-MAT,E,E-MAT
cloud,Nature,water,1,5,E,E-INCOMP,E,E-MAT
cloud,Nature,is white,1,6,E,E-EXSURF,E,E-EXSURF
cloud,Nature,produce rain,1,14,E,E-BEH,E,E-BEH
cloud,Nature,covers the sun,1,5,S,S-SPAT,S,S-SPAT
cloud,Nature,found in the sky,1,11,S,S-TIME,S,S-LOC
clown,Toys,cheerful,1,12,I,I-EMOT,I,I-EMOT
clown,Toys,circus,1,16,S,S-LOC,S,S-EVENT
clown,Toys,is colorful,1,7,E,E-EXSURF,E,E-EXSURF
clown,Toys,is funny,1,11,I,I-EVAL,I,I-EVAL
clown,Toys,is funny,1,5,I,I-EVAL,I,I-EVAL
clown,Toys,is funny,1,11,E,E-SYS,I,I-EVAL
clown,Toys,is funny,1,5,E,E-SYS,I,I-EVAL
clown,Toys,is sad,1,5,I,I-EVAL,I,I-EMOT
clown,Toys,has a nose,1,6,E,E-EXCOMP,E,E-EXCOMP
clown,Toys,liked by children,1,10,I,I-REP,E,E-BEH
clown,Toys,makes you laugh,1,8,S,S-FUNC,E,E-BEH
clown,Toys,has a painted face,2,8,E,E-EXSURF,E,E-EXSURF
clown,Toys,has a red nose,2,6,E,E-EXCOMP,E,E-EXSURF
coat,Clothing,clothing,1,10,T,T-SUPER,T,T-SUPER
coat,Clothing,is elegant,1,6,I,I-EVAL,E,E-SYS
coat,Clothing,is long,1,6,E,E-QUANT,E,E-QUANT
coat,Clothing,winter,1,5,S,S-TIME,S,S-TIME
coat,Clothing,is a warm clothing,2,14,T,T-SUPER,E,E-SYS
coat,Clothing,made of wool,1,7,E,E-MAT,E,E-MAT
cockroach,Animals,is black,1,10,E,E-EXSURF,E,E-EXSURF
cockroach,Animals,is brown,1,5,E,E-EXSURF,E,E-EXSURF
cockroach,Animals,is dirty,1,5,I,I-EVAL,E,E-SYS
cockroach,Animals,is disgusting,1,12,I,I-EVAL,I,I-EVAL
cockroach,Animals,an insect,1,21,T,T-SUPER,T,T-ONT
cockroach,Animals,is a plague,1,10,T,T-SUPER,E,E-SYS
cockroach,Animals,is ugly,1,12,I,I-EVAL,I,I-EVAL
colander,Utensils,coffee,1,5,S,S-OBJECT,S,S-OBJECT
colander,Utensils,tea,1,9,S,S-OBJECT,S,S-FUNC
colander,Utensils,used for straining nuddles,1,14,T,T-SUPER,S,S-FUNC
colander,Utensils,used for strainning,1,8,S,S-FUNC,S,S-FUNC
colander,Utensils,a utensil,1,5,T,T-SUPER,T,T-SUPER
colander,Utensils,vegetables,1,7,S,S-LIVING,S,S-OBJECT
colander,Utensils,made of metal,1,5,E,E-MAT,E,E-MAT
colander,Utensils,made of plastic,1,8,E,E-MAT,E,E-MAT
colander,Utensils,made of steel,1,6,E,E-MAT,E,E-MAT
colander,Utensils,found in the kitchen,1,6,S,S-LOC,S,S-LOC
comb,Accessories,used for combing,1,14,S,S-FUNC,S,S-FUNC
comb,Accessories,used for hair,1,10,S,S-FUNC,S,S-FUNC
comb,Accessories,is useful,1,5,I,I-EVAL,I,I-EVAL
comb,Accessories,has teeth,1,10,E,E-INCOMP,E,E-EXCOMP
comb,Accessories,made of plastic,1,5,E,E-MAT,E,E-MAT
compass,Tools,guide,1,5,S,S-FUNC,S,S-FUNC
compass,Tools,used for determining directions,1,12,S,S-FUNC,S,S-FUNC
compass,Tools,used for orienting oneself,1,5,S,S-FUNC,S,S-FUNC
compass,Tools,points to the north,1,6,S,S-FUNC,S,S-FUNC
condor,Animals,an animal,1,8,T,T-SUPER,T,T-ONT
condor,Animals,is big,1,7,E,E-QUANT,E,E-SYS
condor,Animals,a bird,1,11,T,T-SUPER,T,T-ONT
condor,Animals,flies,1,10,E,E-BEH,E,E-BEH
condor,Animals,height,1,8,S,S-LOC,S,S-SPAT
condor,Animals,lives in the mountain,1,11,S,S-LOC,S,S-LOC
corn,Vegetables,corn,1,11,S,S-OBJECT,T,T-SYN
corn,Vegetables,is eaten,1,12,S,S-ACTION,S,S-ACTION
corn,Vegetables,a foodstuff,1,9,T,T-SUPER,T,T-ONT
corn,Vegetables,a vegetable,1,6,T,T-SUPER,T,T-SUPER
corn,Vegetables,is yellow,1,13,E,E-EXSURF,E,E-EXSURF
corn,Vegetables,has grains,1,13,E,E-EXCOMP,E,E-EXCOMP
corn,Vegetables,tastes good,1,6,I,I-EVAL,E,E-EXSURF
corn,Vegetables,found in the field,1,6,S,S-LOC,S,S-LOC
couch,Furniture,is comfortable,1,17,I,I-EVAL,E,E-SYS
couch,Furniture,used for resting,1,18,S,S-FUNC,S,S-FUNC
couch,Furniture,used for sitting,1,11,S,S-FUNC,S,S-FUNC
couch,Furniture,has cushions,1,6,E,E-EXCOMP,E,E-EXCOMP
couch,Furniture,made of fabric,1,6,E,E-MAT,E,E-MAT
couch,Furniture,made of leather,1,6,E,E-MAT,E,E-MAT
couch,Furniture,a piece of furniture,1,7,T,T-SUPER,T,T-SUPER
cow,Animals,an animal,1,6,T,T-SUPER,T,T-ONT
cow,Animals,barbecue,1,5,S,S-EVENT,S,S-EVENT
cow,Animals,calf,1,8,T,T-SUBORD,T,T-SUBORD
cow,Animals,is eaten,1,6,S,S-ACTION,E,E-BEH
cow,Animals,moos,1,5,E,E-BEH,E,E-BEH
cow,Animals,eats grass,1,8,E,E-BEH,E,E-BEH
cow,Animals,gives milk,1,25,E,E-BEH,E,E-BEH
cow,Animals,produces leather,1,15,S,S-ACTION,E,E-BEH
cow,Animals,eaten as meat,1,17,S,S-FUNC,S,S-FUNC
cow,Animals,lives in the countryside,1,10,S,S-LOC,E,E-SYS
crab,Animals,a crustacean,1,9,T,T-SUPER,T,T-SUPER
crab,Animals,is eaten,1,10,S,S-ACTION,S,S-ACTION
crab,Animals,has clamps,1,10,E,E-EXCOMP,E,E-EXCOMP
crab,Animals,has legs,1,6,E,E-EXCOMP,E,E-EXCOMP
crab,Animals,lives in the sea,1,14,S,S-LOC,S,S-LOC
crocodile,Animals,an animal,1,13,T,T-SUPER,T,T-ONT
crocodile,Animals,is carnivorous,1,5,E,E-SYS,E,E-SYS
crocodile,Animals,is dangerous,1,8,I,I-EVAL,E,E-SYS
crocodile,Animals,is green,1,14,E,E-EXSURF,E,E-EXSURF
crocodile,Animals,a reptile,1,8,T,T-SUPER,T,T-SYN
crocodile,Animals,is ugly,1,6,I,I-EVAL,I,I-EVAL
crocodile,Animals,used for making bags,1,9,S,S-ACTION,S,S-FUNC
crocodile,Animals,used for making shoes,1,5,S,S-ACTION,S,S-FUNC
crocodile,Animals,has teeth,1,7,E,E-INCOMP,E,E-EXCOMP
crown,Accessories,is brilliant,1,5,E,E-EXSURF,E,E-EXSURF
crown,Accessories,used by the king,1,8,S,S-PERSON,S,S-FUNC
crown,Accessories,used by the princess,1,7,S,S-PERSON,S,S-PERSON
crown,Accessories,used by the queen,1,19,S,S-PERSON,S,S-PERSON
crown,Accessories,gives power,1,5,I,I-REP,S,S-FUNC
crown,Accessories,has flowers,1,9,E,E-EXCOMP,E,E-EXCOMP
crown,Accessories,made of gold,1,7,E,E-MAT,E,E-MAT
cup,Containers,coffee,1,7,S,S-OBJECT,S,S-FUNC
cup,Containers,tea,1,8,S,S-OBJECT,T,T-SUBORD
cup,Containers,a utensil,1,5,T,T-SUPER,T,T-SUPER
cup,Containers,made of ceramic,1,5,E,E-MAT,E,E-MAT
cutting board,Utensils,used for chopping,1,8,S,S-FUNC,S,S-FUNC
cutting board,Utensils,is useful,1,5,I,I-EVAL,I,I-EVAL
cutting board,Utensils,vegetables,1,5,S,S-LIVING,S,S-OBJECT
cutting board,Utensils,made of wood,1,16,E,E-MAT,E,E-MAT
cymbals,Musical instruments,sound,1,8,S,S-FUNC,E,E-SYS
cymbals,Musical instruments,used for food,1,13,S,S-FUNC,S,S-FUNC
cymbals,Musical instruments,used for making music,1,6,S,S-FUNC,S,S-FUNC
cymbals,Musical instruments,are part of the drum set,2,5,E,E-WHOLE,E,E-WHOLE
cymbals,Musical instruments,a musical instrument,2,5,T,T-SUPER,T,T-SYN
cymbals,Musical instruments,made of metal,1,6,E,E-MAT,E,E-MAT
dart,Toys,aim,1,10,E,E-ABSTR,S,S-FUNC
dart,Toys,is dangerous,1,6,I,I-EVAL,E,E-SYS
dart,Toys,game,1,13,S,S-SOCART,S,S-EVENT
dart,Toys,an object,1,5,T,T-ONT,T,T-ONT
dart,Toys,pokes,1,7,E,E-BEH,S,S-ACTION
dart,Toys,used target practice,2,13,T,T-SUBORD,S,S-FUNC
dart,Toys,has a tip,1,10,E,E-EXCOMP,E,E-EXCOMP
deer,Animals,an animal,1,18,T,T-SUPER,T,T-ONT
deer,Animals,is brown,1,5,E,E-EXSURF,E,E-EXSURF
deer,Animals,is eaten,1,5,S,S-ACTION,S,S-FUNC
deer,Animals,is fast,1,11,E,E-SYS,E,E-SYS
deer,Animals,is nice,1,13,I,I-EVAL,I,I-EVAL
deer,Animals,has horns,1,19,E,E-EXCOMP,E,E-EXCOMP
desk,Furniture,is comfortable,1,5,I,I-EVAL,E,E-SYS
desk,Furniture,used for storing things,1,5,S,S-FUNC,S,S-FUNC
desk,Furniture,used for studying,1,6,S,S-FUNC,S,S-FUNC
desk,Furniture,used for working,1,9,S,S-FUNC,S,S-FUNC
desk,Furniture,used for writing,1,11,S,S-FUNC,S,S-FUNC
desk,Furniture,made of wood,1,10,E,E-MAT,E,E-MAT
desk,Furniture,a piece of furniture,1,7,T,T-SUPER,T,T-ONT
desk,Furniture,serves to support,1,6,S,S-FUNC,S,S-FUNC
desk,Furniture,serves to support books,1,5,S,S-FUNC,S,S-FUNC
dinosaur,Animals,is ancient,1,7,S,S-TIME,E,E-SYS
dinosaur,Animals,an animal,1,12,T,T-SUPER,T,T-ONT
dinosaur,Animals,is big,1,14,E,E-QUANT,E,E-SYS
dinosaur,Animals,extinct,1,6,E,E-SYS,E,E-SYS
dinosaur,Animals,is prehistoric,1,9,S,S-TIME,E,E-SYS
dog,Animals,an animal,1,7,T,T-SUPER,T,T-ONT
dog,Animals,barks,1,5,E,E-BEH,E,E-BEH
dog,Animals,bites,1,5,E,E-BEH,E,E-BEH
dog,Animals,friend,1,15,I,I-EVAL,S,S-PERSON
dog,Animals,is guardian,1,17,I,I-REP,E,E-BEH
dog,Animals,is loving,1,5,I,I-EVAL,E,E-SYS
dog,Animals,is loyal,1,11,I,I-EVAL,E,E-SYS
dog,Animals,partner,1,10,I,I-REP,S,S-PERSON
dog house,Constructions,animals,1,6,S,S-LIVING,S,S-LIVING
dog house,Constructions,dog,1,22,S,S-LIVING,S,S-FUNC
dog house,Constructions,a house,1,13,T,T-SUPER,T,T-SUBORD
dog house,Constructions,made of wood,1,9,E,E-MAT,E,E-MAT
doll,Toys,childhood,1,9,S,S-TIME,S,S-EVENT
doll,Toys,used by girls,1,10,S,S-PERSON,S,S-PERSON
doll,Toys,is nice,1,10,I,I-EVAL,I,I-EVAL
doll,Toys,a toy,1,12,T,T-SUPER,T,T-SUPER
doll,Toys,used for playing,1,7,S,S-FUNC,S,S-FUNC
dolphin,Animals,an animal,1,7,T,T-SUPER,T,T-ONT
dolphin,Animals,a fish,1,6,T,T-SUPER,T,T-ONT
dolphin,Animals,is friendly,1,9,E,E-SYS,E,E-SYS
dolphin,Animals,is gray,1,5,E,E-EXSURF,E,E-EXSURF
dolphin,Animals,is intelligent,1,10,E,E-SYS,E,E-SYS
dolphin,Animals,jumps,1,7,E,E-BEH,E,E-BEH
dolphin,Animals,a mammal,1,10,T,T-SUPER,T,T-ONT
dolphin,Animals,is nice,1,6,I,I-EVAL,E,E-SYS
dolphin,Animals,lives in the sea,1,10,S,S-LOC,S,S-LOC
dolphin,Animals,lives in the water,1,7,S,S-LOC,S,S-LOC
donkey,Animals,an animal,1,15,T,T-SUPER,T,T-ONT
donkey,Animals,is gray,1,7,E,E-EXSURF,E,E-EXSURF
donkey,Animals,used for loads,1,8,S,S-ACTION,S,S-FUNC
donkey,Animals,has ears,1,14,E,E-EXCOMP,E,E-EXCOMP
donkey,Animals,has legs,1,11,E,E-EXCOMP,E,E-EXCOMP
door,House parts,entry,1,8,S,S-FUNC,S,S-FUNC
door,House parts,exit,1,7,S,S-FUNC,S,S-FUNC
door,House parts,key,1,5,S,S-OBJECT,E,E-INCOMP
door,House parts,is openable,1,6,S,S-ACTION,E,E-SYS
door,House parts,safety,1,5,S,S-SOCART,S,S-FUNC
door,House parts,divide spaces,1,7,S,S-FUNC,S,S-FUNC
door,House parts,has glass,1,6,E,E-EXCOMP,E,E-EXCOMP
door,House parts,can be closed,1,7,S,S-ACTION,E,E-BEH
door,House parts,has a handle,1,6,E,E-EXCOMP,E,E-EXCOMP
door,House parts,made of aluminum,1,10,E,E-MAT,E,E-MAT
door,House parts,made of wood,1,13,E,E-MAT,E,E-MAT
door,House parts,found in the house,1,5,S,S-LOC,S,S-LOC
doorknob,House parts,door,1,9,T,T-SYN,E,E-WHOLE
doorknob,House parts,used for opening doors,1,11,S,S-FUNC,S,S-FUNC
doorknob,House parts,made of metal,1,5,E,E-MAT,E,E-MAT
doorknob,House parts,used for opening and closing,1,5,S,S-FUNC,S,S-FUNC
dragonfly,Animals,butterfly,1,8,S,S-OBJECT,T,T-COORD
dragonfly,Animals,flies,1,10,E,E-BEH,E,E-BEH
dragonfly,Animals,an insect,1,16,T,T-SUPER,T,T-SYN
dragonfly,Animals,has wings,1,10,E,E-EXCOMP,E,E-EXCOMP
dress,Clothing,clothing,1,15,T,T-SUPER,T,T-SUPER
dress,Clothing,is elegant,1,7,I,I-EVAL,E,E-SYS
dress,Clothing,is long,1,10,E,E-QUANT,E,E-SYS
dress,Clothing,used by women,1,12,S,S-PERSON,S,S-PERSON
dress,Clothing,worn at parties,1,9,S,S-EVENT,S,S-FUNC
dress,Clothing,different colors,1,7,E,E-EXSURF,E,E-QUANT
dress,Clothing,eg_-_ is short,1,7,E,E-QUANT,T,T-SUBORD
dress,Clothing,made of fabric,1,9,E,E-MAT,E,E-MAT
dresser,Furniture,used for storing clothes,1,21,S,S-FUNC,S,S-FUNC
dresser,Furniture,has drawers,1,10,E,E-EXCOMP,E,E-EXCOMP
dresser,Furniture,made of wood,1,14,E,E-MAT,E,E-MAT
dresser,Furniture,a piece of furniture,1,19,T,T-SUPER,T,T-ONT
dresser,Furniture,found in the bedroom,1,15,S,S-LOC,S,S-LOC
drum,Musical instruments,is noisy,1,7,E,E-SYS,E,E-SYS
drum,Musical instruments,sound,1,7,S,S-FUNC,E,E-EXSURF
drum,Musical instruments,used for making music,1,9,S,S-FUNC,S,S-FUNC
drum,Musical instruments,has sticks,1,5,S,S-OBJECT,E,E-EXCOMP
drum,Musical instruments,a musical instrument,2,6,T,T-SUPER,T,T-SUPER
duck,Animals,an animal,1,6,T,T-SUPER,T,T-ONT
duck,Animals,swims,1,6,E,E-BEH,E,E-BEH
duck,Animals,makes noises,1,5,E,E-BEH,E,E-BEH
eagle,Animals,an animal,1,5,T,T-SUPER,T,T-ONT
eagle,Animals,is big,1,8,E,E-QUANT,E,E-QUANT
eagle,Animals,a bird,1,8,T,T-SUPER,T,T-SUPER
eagle,Animals,flies,1,16,E,E-BEH,E,E-BEH
eagle,Animals,hunts,1,5,E,E-BEH,E,E-BEH
eagle,Animals,has claws,1,9,E,E-EXCOMP,E,E-EXCOMP
eagle,Animals,has feathers,1,5,E,E-EXCOMP,E,E-EXCOMP
eagle,Animals,has wings,1,6,E,E-EXCOMP,E,E-EXCOMP
eagle,Animals,has a beak,1,5,E,E-EXCOMP,E,E-EXCOMP
eagle,Animals,lives in the mountain,1,7,S,S-LOC,S,S-LOC
ear,Body parts,is big,1,6,E,E-QUANT,E,E-QUANT
ear,Body parts,a part of the body,1,6,E,E-WHOLE,T,T-ONT
ear,Body parts,ear,1,5,T,T-COORD,T,T-SYN
ear,Body parts,earring,1,20,S,S-OBJECT,S,S-OBJECT
ear,Body parts,is small,1,6,E,E-QUANT,E,E-QUANT
ear,Body parts,used for hearing,1,25,S,S-FUNC,S,S-FUNC
eel,Animals,is eaten,1,5,S,S-ACTION,E,E-BEH
eel,Animals,is electrical,1,5,E,E-SYS,E,E-SYS
eel,Animals,a fish,1,11,T,T-SUPER,T,T-ONT
eel,Animals,swims,1,5,E,E-BEH,E,E-BEH
eel,Animals,lives in the sea,1,11,S,S-LOC,S,S-LOC
eel,Animals,lives in the water,1,12,S,S-LOC,S,S-LOC
elephant,Animals,an animal,1,16,T,T-SUPER,T,T-ONT
elephant,Animals,is big,1,26,E,E-QUANT,E,E-SYS
elephant,Animals,circus,1,8,S,S-LOC,S,S-EVENT
elephant,Animals,is gray,1,7,E,E-EXSURF,E,E-EXSURF
elephant,Animals,is heavy,1,8,E,E-SYS,E,E-SYS
elephant,Animals,a mammal,1,5,T,T-SUPER,T,T-ONT
elephant,Animals,pachyderm,1,5,T,T-SUPER,T,T-SYN
elephant,Animals,has a trunk,1,14,E,E-EXCOMP,E,E-EXCOMP
envelope,Utensils,letter,1,17,S,S-OBJECT,E,E-INCOMP
envelope,Utensils,mail,1,6,S,S-LOC,S,S-FUNC
envelope,Utensils,is white,1,8,E,E-EXSURF,E,E-EXSURF
