cue,category,response,nWords,frequency,human1,human2,model1,model2
cannon,Weapons,death,1,6,S,S-SOCART,S,S-EVENT
cannon,Weapons,destruction,1,7,S,S-FUNC,S,S-EVENT
cannon,Weapons,weapon,1,7,T,T-SUPER,T,T-SUPER
cap,Clothing,cap,1,16,T,T-SUPER,T,T-SYN
cap,Clothing,fabric,1,5,E,E-MAT,E,E-MAT
cap,Clothing,wool,1,5,E,E-MAT,E,E-MAT
cap,Clothing,cold,1,8,S,S-FUNC,S,S-PHYST
car,Vehicles,comfortable,1,6,I,I-EVAL,E,E-SYS
car,Vehicles,fast,1,6,E,E-SYS,E,E-SYS
car,Vehicles,riding,1,7,S,S-FUNC,S,S-ACTION
car,Vehicles,traveling,1,8,S,S-FUNC,S,S-FUNC
car,Vehicles,wheels,1,12,E,E-EXCOMP,E,E-EXCOMP
car,Vehicles,engine,1,6,E,E-INCOMP,E,E-INCOMP
car,Vehicles,transportation,1,12,T,T-SUPER,S,S-FUNC
carrot,Vegetables,eaten,1,16,S,S-ACTION,S,S-ACTION
carrot,Vegetables,grated,1,6,S,S-ACTION,S,S-ACTION
carrot,Vegetables,orange,1,16,E,E-EXSURF,E,E-EXSURF
carrot,Vegetables,raw,1,5,E,E-INSURF,E,E-INSURF
carrot,Vegetables,stew,1,5,E,E-WHOLE,S,S-FUNC
carrot,Vegetables,tuber,1,5,T,T-SUPER,T,T-SUPER
carrot,Vegetables,salad,1,18,S,S-ACTION,S,S-PROD
carrot,Vegetables,vegetable,1,15,T,T-SUPER,T,T-SUPER
carrot,Vegetables,vegetable,1,5,T,T-SUPER,T,T-SUPER
carrot,Vegetables,vitamins,1,5,E,E-INCOMP,E,E-SYS
carrot,Vegetables,rabits,1,9,S,S-LIVING,S,S-LIVING
cat,Animals,animal,1,7,T,T-SUPER,T,T-ONT
cat,Animals,cuddly,1,11,E,E-SYS,I,I-EVAL
cat,Animals,feline,1,8,T,T-SUPER,T,T-SYN
celery,Vegetables,green,1,14,E,E-EXSURF,E,E-EXSURF
celery,Vegetables,plant,1,7,T,T-SUPER,T,T-ONT
celery,Vegetables,spice,1,5,T,T-SUPER,E,E-INSURF
celery,Vegetables,flavouring,1,5,S,S-FUNC,E,E-INSURF
celery,Vegetables,salad,1,8,S,S-ACTION,S,S-OBJECT
celery,Vegetables,vegetable,1,13,T,T-SUPER,T,T-SUPER
celery,Vegetables,vegetable,1,5,T,T-SUPER,T,T-SUPER
celery,Vegetables,leaf,1,7,E,E-EXCOMP,E,E-EXCOMP
centipede,Animals,animal,1,8,T,T-SUPER,T,T-ONT
centipede,Animals,bug,1,8,T,T-SUPER,T,T-SYN
centipede,Animals,insect,1,10,T,T-SUPER,T,T-ONT
centipede,Animals,long,1,10,E,E-QUANT,E,E-QUANT
centipede,Animals,small,1,8,E,E-QUANT,E,E-SYS
centipede,Animals,legs,1,10,E,E-EXCOMP,E,E-EXCOMP
chain,Tools,bicycle,1,5,T,T-SUBORD,E,E-WHOLE
chain,Tools,ornament,1,5,T,T-SUPER,S,S-OBJECT
chain,Tools,safety,1,5,S,S-SOCART,S,S-FUNC
chain,Tools,joining,1,5,S,S-FUNC,S,S-FUNC
chain,Tools,tying,1,10,S,S-FUNC,S,S-ACTION
chain,Tools,links,1,12,E,E-EXCOMP,E,E-EXCOMP
chain,Tools,gold,1,8,E,E-MAT,E,E-MAT
chain,Tools,iron,1,7,E,E-MAT,E,E-MAT
chain,Tools,metal,1,6,E,E-MAT,E,E-MAT
chain,Tools,silver,1,7,E,E-MAT,E,E-MAT
chair,Furniture,comfortable,1,11,I,I-EVAL,E,E-SYS
chair,Furniture,seat,1,6,T,T-COORD,E,E-EXCOMP
chair,Furniture,table,1,8,S,S-OBJECT,T,T-COORD
chair,Furniture,resting,1,6,S,S-FUNC,S,S-FUNC
chair,Furniture,sitting,1,12,S,S-FUNC,S,S-FUNC
chair,Furniture,metal,1,5,E,E-MAT,E,E-MAT
chair,Furniture,wood,1,13,E,E-MAT,E,E-MAT
cheese,Food,creamy,1,6,E,E-EXSURF,E,E-INSURF
cheese,Food,foodstuff,1,8,T,T-SUPER,T,T-SUPER
cheese,Food,good,1,10,I,I-EVAL,I,I-EVAL
cheese,Food,grated,1,11,S,S-ACTION,E,E-SYS
cheese,Food,milk,1,10,E,E-MAT,E,E-MAT
cheese,Food,cow,1,5,S,S-LIVING,E,E-MAT
cherry,Fruits,fruit,1,21,T,T-SUPER,T,T-ONT
cherry,Fruits,red,1,21,E,E-EXSURF,E,E-EXSURF
cherry,Fruits,small,1,10,E,E-QUANT,E,E-QUANT
cherry,Fruits,sweet,1,18,E,E-INSURF,E,E-INSURF
cherry,Fruits,desserts,1,6,S,S-ACTION,S,S-OBJECT
cherry,Fruits,good,1,15,I,I-EVAL,I,I-EVAL
cherry,Fruits,pit,1,8,E,E-INCOMP,E,E-INCOMP
chest,Furniture,storing,1,5,S,S-FUNC,S,S-FUNC
chest,Furniture,storing,1,15,S,S-FUNC,S,S-FUNC
chest,Furniture,reminders,1,13,S,S-FUNC,S,S-OBJECT
chest,Furniture,wood,1,13,E,E-MAT,E,E-MAT
chest,Furniture,car,1,9,S,S-LOC,S,S-OBJECT
chicken,Animals,bird,1,5,T,T-SUPER,T,T-SYN
chicken,Animals,chicken,1,5,T,T-SYN,T,T-SYN
chicken,Animals,clucks,1,5,E,E-BEH,E,E-BEH
chicken,Animals,eaten,1,12,S,S-ACTION,S,S-ACTION
chicken,Animals,stew,1,5,S,S-ACTION,S,S-FUNC
chicken,Animals,eats,1,5,E,E-BEH,E,E-BEH
chicken,Animals,feathers,1,13,E,E-EXCOMP,E,E-EXCOMP
chicken,Animals,eggs,1,27,E,E-BEH,E,E-INCOMP
chicken,Animals,chicken,1,11,T,T-COORD,T,T-SYN
chicken,Animals,henhouse,1,8,S,S-LOC,S,S-LOC
chisel,Utensils,carrot,1,9,S,S-LIVING,S,S-OBJECT
chisel,Utensils,fruit,1,5,S,S-LIVING,S,S-OBJECT
chisel,Utensils,metal,1,10,E,E-MAT,E,E-MAT
chisel,Utensils,potatoe,1,9,S,S-LIVING,S,S-OBJECT
chisel,Utensils,cutting,1,5,S,S-FUNC,S,S-FUNC
chisel,Utensils,useful,1,9,I,I-EVAL,S,S-FUNC
chisel,Utensils,utensil,1,11,T,T-SUPER,T,T-SYN
chisel,Utensils,kitchen,1,11,S,S-LOC,S,S-LOC
chisel,Utensils,cutting edge,2,5,E,E-EXSURF,E,E-EXCOMP
church,Constructions,big,1,6,E,E-QUANT,E,E-SYS
church,Constructions,god,1,5,S,S-SOCART,S,S-SOCORG
church,Constructions,mass,1,7,S,S-SOCART,S,S-EVENT
church,Constructions,pray,1,14,S,S-ACTION,S,S-FUNC
church,Constructions,priest,1,5,S,S-PERSON,S,S-PERSON
church,Constructions,religion,1,5,S,S-SOCART,S,S-SOCART
church,Constructions,wedding,1,5,S,S-EVENT,S,S-EVENT
cigar,Objects,big,1,5,E,E-QUANT,E,E-QUANT
cigar,Objects,brown,1,6,E,E-EXSURF,E,E-EXSURF
cigar,Objects,causes_disease,1,8,E,E-SYS,I,I-CONTIN
cigar,Objects,cigar,1,16,T,T-SUPER,T,T-SYN
cigar,Objects,smoking,1,11,S,S-FUNC,S,S-ACTION
cigar,Objects,tobacco,1,10,E,E-INCOMP,E,E-MAT
cigar,Objects,v,1,13,E,E-BEH,I,I-NEG
cigarette,Objects,causes_disease,1,9,E,E-SYS,I,I-CONTIN
cigarette,Objects,paper,1,5,E,E-EXCOMP,E,E-MAT
cigarette,Objects,smoking,1,5,S,S-FUNC,S,S-ACTION
cigarette,Objects,vice,1,10,I,I-REP,I,I-EVAL
cigarette,Objects,cancer,1,8,S,S-ACTION,S,S-EVENT
cigarette,Objects,disease,1,5,I,I-EVAL,S,S-EVENT
cigarette,Objects,nicotine,1,7,E,E-INCOMP,E,E-INCOMP
cigarette,Objects,tobacco,1,13,E,E-INCOMP,E,E-MAT
cigarette,Objects,smoke,1,11,E,E-BEH,S,S-EVENT
clock,Devices,alarm,1,6,S,S-FUNC,E,E-SYS
clock,Devices,time,1,11,S,S-FUNC,S,S-FUNC
clock,Devices,waking up,2,5,S,S-FUNC,S,S-EVENT
closet,Furniture,order,1,5,S,S-FUNC,S,S-FUNC
closet,Furniture,storing,1,13,S,S-FUNC,S,S-FUNC
closet,Furniture,storing,1,12,S,S-FUNC,S,S-FUNC
closet,Furniture,useful,1,5,I,I-EVAL,I,I-EVAL
closet,Furniture,doors,1,9,E,E-EXCOMP,E,E-EXCOMP
closet,Furniture,drawers,1,5,E,E-EXCOMP,E,E-EXCOMP
closet,Furniture,wood,1,10,E,E-MAT,E,E-MAT
closet,Furniture,furniture,1,11,T,T-SUPER,T,T-ONT
clothespin,Utensils,clothes,1,15,E,E-MAT,S,S-OBJECT
clothespin,Utensils,useful,1,5,I,I-EVAL,I,I-EVAL
clothespin,Utensils,plastic,1,11,E,E-MAT,E,E-MAT
clothespin,Utensils,wood,1,12,E,E-MAT,E,E-MAT
cloud,Nature,water,1,5,E,E-INCOMP,E,E-MAT
cloud,Nature,white,1,6,E,E-EXSURF,E,E-EXSURF
cloud,Nature,rain,1,14,E,E-BEH,S,S-EVENT
cloud,Nature,sun,1,5,S,S-SPAT,S,S-LOC
cloud,Nature,sky,1,11,S,S-TIME,S,S-LOC
clown,Toys,cheerful,1,12,I,I-EMOT,E,E-BEH
clown,Toys,circus,1,16,S,S-LOC,S,S-LOC
clown,Toys,colorful,1,7,E,E-EXSURF,E,E-EXSURF
clown,Toys,funny,1,11,I,I-EVAL,I,I-EVAL
clown,Toys,funny,1,5,I,I-EVAL,I,I-EVAL
clown,Toys,funny,1,11,E,E-SYS,I,I-EVAL
clown,Toys,funny,1,5,E,E-SYS,I,I-EVAL
clown,Toys,sad,1,5,I,I-EVAL,I,I-EMOT
clown,Toys,nose,1,6,E,E-EXCOMP,E,E-EXCOMP
clown,Toys,children,1,10,I,I-REP,S,S-PERSON
clown,Toys,laugh,1,8,S,S-FUNC,S,S-EVENT
clown,Toys,painted face,2,8,E,E-EXSURF,E,E-EXSURF
clown,Toys,red nose,2,6,E,E-EXCOMP,E,E-EXSURF
coat,Clothing,clothing,1,10,T,T-SUPER,T,T-SUPER
coat,Clothing,elegant,1,6,I,I-EVAL,E,E-SYS
coat,Clothing,long,1,6,E,E-QUANT,E,E-QUANT
coat,Clothing,winter,1,5,S,S-TIME,S,S-TIME
coat,Clothing,warm clothing,2,14,T,T-SUPER,T,T-SYN
coat,Clothing,wool,1,7,E,E-MAT,E,E-MAT
cockroach,Animals,black,1,10,E,E-EXSURF,E,E-EXSURF
cockroach,Animals,brown,1,5,E,E-EXSURF,E,E-EXSURF
cockroach,Animals,dirty,1,5,I,I-EVAL,I,I-EVAL
cockroach,Animals,disgusting,1,12,I,I-EVAL,I,I-EVAL
cockroach,Animals,insect,1,21,T,T-SUPER,T,T-SUPER
cockroach,Animals,plague,1,10,T,T-SUPER,E,E-ABSTR
cockroach,Animals,ugly,1,12,I,I-EVAL,I,I-EVAL
colander,Utensils,coffee,1,5,S,S-OBJECT,S,S-OBJECT
colander,Utensils,tea,1,9,S,S-OBJECT,S,S-OBJECT
colander,Utensils,straining,1,14,T,T-SUPER,S,S-FUNC
colander,Utensils,utensil,1,5,T,T-SUPER,T,T-SYN
colander,Utensils,vegetables,1,7,S,S-LIVING,S,S-OBJECT
colander,Utensils,metal,1,5,E,E-MAT,E,E-MAT
colander,Utensils,plastic,1,8,E,E-MAT,E,E-MAT
colander,Utensils,steel,1,6,E,E-MAT,E,E-MAT
colander,Utensils,kitchen,1,6,S,S-LOC,S,S-LOC
comb,Accessories,combing,1,14,S,S-FUNC,S,S-ACTION
comb,Accessories,hair,1,10,S,S-FUNC,S,S-FUNC
comb,Accessories,useful,1,5,I,I-EVAL,I,I-EVAL
comb,Accessories,teeth,1,10,E,E-INCOMP,E,E-EXCOMP
comb,Accessories,plastic,1,5,E,E-MAT,E,E-MAT
compass,Tools,guide,1,5,S,S-FUNC,S,S-FUNC
compass,Tools,directions,1,12,S,S-FUNC,S,S-FUNC
compass,Tools,orienting,1,5,S,S-FUNC,S,S-FUNC
compass,Tools,north,1,6,S,S-FUNC,S,S-FUNC
condor,Animals,animal,1,8,T,T-SUPER,T,T-ONT
condor,Animals,big,1,7,E,E-QUANT,E,E-QUANT
condor,Animals,bird,1,11,T,T-SUPER,T,T-SYN
condor,Animals,flies,1,10,E,E-BEH,E,E-BEH
condor,Animals,height,1,8,S,S-LOC,E,E-QUANT
condor,Animals,mountain,1,11,S,S-LOC,S,S-LOC
corn,Vegetables,corn,1,11,S,S-OBJECT,T,T-SYN
corn,Vegetables,eaten,1,12,S,S-ACTION,S,S-ACTION
corn,Vegetables,foodstuff,1,9,T,T-SUPER,T,T-SUPER
corn,Vegetables,vegetable,1,6,T,T-SUPER,T,T-SUPER
corn,Vegetables,yellow,1,13,E,E-EXSURF,E,E-EXSURF
corn,Vegetables,grains,1,13,E,E-EXCOMP,E,E-INCOMP
corn,Vegetables,good,1,6,I,I-EVAL,I,I-EVAL
corn,Vegetables,field,1,6,S,S-LOC,S,S-LOC
couch,Furniture,comfortable,1,17,I,I-EVAL,E,E-SYS
couch,Furniture,resting,1,18,S,S-FUNC,S,S-FUNC
couch,Furniture,sitting,1,11,S,S-FUNC,S,S-ACTION
couch,Furniture,cushions,1,6,E,E-EXCOMP,E,E-EXCOMP
couch,Furniture,fabric,1,6,E,E-MAT,E,E-MAT
couch,Furniture,leather,1,6,E,E-MAT,E,E-MAT
couch,Furniture,furniture,1,7,T,T-SUPER,T,T-SUPER
cow,Animals,animal,1,6,T,T-SUPER,T,T-ONT
cow,Animals,barbecue,1,5,S,S-EVENT,S,S-FUNC
cow,Animals,calf,1,8,T,T-SUBORD,T,T-SUBORD
cow,Animals,eaten,1,6,S,S-ACTION,S,S-ACTION
cow,Animals,moos,1,5,E,E-BEH,E,E-BEH
cow,Animals,eats,1,8,E,E-BEH,E,E-BEH
cow,Animals,eats,1,25,E,E-BEH,E,E-BEH
cow,Animals,leather,1,15,S,S-ACTION,E,E-MAT
cow,Animals,meat,1,17,S,S-FUNC,S,S-OBJECT
cow,Animals,countryside,1,10,S,S-LOC,S,S-LOC
crab,Animals,crustacean,1,9,T,T-SUPER,T,T-SYN
crab,Animals,eaten,1,10,S,S-ACTION,S,S-ACTION
crab,Animals,clamps,1,10,E,E-EXCOMP,E,E-EXCOMP
crab,Animals,legs,1,6,E,E-EXCOMP,E,E-EXCOMP
crab,Animals,sea,1,14,S,S-LOC,S,S-LOC
crocodile,Animals,animal,1,13,T,T-SUPER,T,T-ONT
crocodile,Animals,carnivorous,1,5,E,E-SYS,E,E-SYS
crocodile,Animals,dangerous,1,8,I,I-EVAL,E,E-SYS
crocodile,Animals,green,1,14,E,E-EXSURF,E,E-EXSURF
crocodile,Animals,reptile,1,8,T,T-SUPER,T,T-ONT
crocodile,Animals,ugly,1,6,I,I-EVAL,I,I-EVAL
crocodile,Animals,bags,1,9,S,S-ACTION,S,S-OBJECT
crocodile,Animals,shoes,1,5,S,S-ACTION,S,S-OBJECT
crocodile,Animals,teeth,1,7,E,E-INCOMP,E,E-EXCOMP
crown,Accessories,brilliant,1,5,E,E-EXSURF,E,E-EXSURF
crown,Accessories,king,1,8,S,S-PERSON,S,S-PERSON
crown,Accessories,princess,1,7,S,S-PERSON,S,S-PERSON
crown,Accessories,queen,1,19,S,S-PERSON,S,S-PERSON
crown,Accessories,power,1,5,I,I-REP,S,S-SOCART
crown,Accessories,flowers,1,9,E,E-EXCOMP,E,E-EXCOMP
crown,Accessories,gold,1,7,E,E-MAT,E,E-MAT
cup,Containers,coffee,1,7,S,S-OBJECT,S,S-FUNC
cup,Containers,tea,1,8,S,S-OBJECT,S,S-OBJECT
cup,Containers,utensil,1,5,T,T-SUPER,T,T-SUPER
cup,Containers,ceramic,1,5,E,E-MAT,E,E-MAT
cutting board,Utensils,chopping,1,8,S,S-FUNC,S,S-ACTION
cutting board,Utensils,useful,1,5,I,I-EVAL,S,S-FUNC
cutting board,Utensils,vegetables,1,5,S,S-LIVING,S,S-OBJECT
cutting board,Utensils,wood,1,16,E,E-MAT,E,E-MAT
cymbals,Musical instruments,sound,1,8,S,S-FUNC,E,E-EXSURF
cymbals,Musical instruments,food,1,13,S,S-FUNC,S,S-OBJECT
cymbals,Musical instruments,music,1,6,S,S-FUNC,S,S-EVENT
cymbals,Musical instruments,drum set,2,5,E,E-WHOLE,E,E-WHOLE
cymbals,Musical instruments,musical instrument,2,5,T,T-SUPER,T,T-SUPER
cymbals,Musical instruments,metal,1,6,E,E-MAT,E,E-MAT
dart,Toys,aim,1,10,E,E-ABSTR,S,S-FUNC
dart,Toys,dangerous,1,6,I,I-EVAL,E,E-SYS
dart,Toys,game,1,13,S,S-SOCART,S,S-EVENT
dart,Toys,object,1,5,T,T-ONT,T,T-ONT
dart,Toys,pokes,1,7,E,E-BEH,S,S-ACTION
dart,Toys,target practice,2,13,T,T-SUBORD,S,S-EVENT
dart,Toys,tip,1,10,E,E-EXCOMP,E,E-EXCOMP
deer,Animals,animal,1,18,T,T-SUPER,T,T-ONT
deer,Animals,brown,1,5,E,E-EXSURF,E,E-EXSURF
deer,Animals,eaten,1,5,S,S-ACTION,S,S-ACTION
deer,Animals,fast,1,11,E,E-SYS,E,E-SYS
deer,Animals,nice,1,13,I,I-EVAL,I,I-EVAL
deer,Animals,horns,1,19,E,E-EXCOMP,E,E-EXCOMP
desk,Furniture,comfortable,1,5,I,I-EVAL,E,E-SYS
desk,Furniture,storing,1,5,S,S-FUNC,S,S-FUNC
desk,Furniture,studying,1,6,S,S-FUNC,S,S-FUNC
desk,Furniture,working,1,9,S,S-FUNC,S,S-FUNC
desk,Furniture,writing,1,11,S,S-FUNC,S,S-FUNC
desk,Furniture,wood,1,10,E,E-MAT,E,E-MAT
desk,Furniture,furniture,1,7,T,T-SUPER,T,T-SUPER
desk,Furniture,support,1,6,S,S-FUNC,S,S-FUNC
desk,Furniture,support,1,5,S,S-FUNC,S,S-FUNC
dinosaur,Animals,ancient,1,7,S,S-TIME,E,E-SYS
dinosaur,Animals,animal,1,12,T,T-SUPER,T,T-ONT
dinosaur,Animals,big,1,14,E,E-QUANT,E,E-QUANT
dinosaur,Animals,extinct,1,6,E,E-SYS,E,E-SYS
dinosaur,Animals,prehistoric,1,9,S,S-TIME,E,E-SYS
dog,Animals,animal,1,7,T,T-SUPER,T,T-ONT
dog,Animals,barks,1,5,E,E-BEH,E,E-BEH
dog,Animals,bites,1,5,E,E-BEH,E,E-BEH
dog,Animals,friend,1,15,I,I-EVAL,E,E-ABSTR
dog,Animals,guardian,1,17,I,I-REP,E,E-BEH
dog,Animals,loving,1,5,I,I-EVAL,E,E-BEH
dog,Animals,loyal,1,11,I,I-EVAL,E,E-BEH
dog,Animals,partner,1,10,I,I-REP,S,S-PERSON
dog house,Constructions,animals,1,6,S,S-LIVING,S,S-LIVING
dog house,Constructions,dog,1,22,S,S-LIVING,T,T-INDIV
dog house,Constructions,house,1,13,T,T-SUPER,T,T-SUBORD
dog house,Constructions,wood,1,9,E,E-MAT,E,E-MAT
doll,Toys,childhood,1,9,S,S-TIME,S,S-EVENT
doll,Toys,girls,1,10,S,S-PERSON,S,S-PERSON
doll,Toys,nice,1,10,I,I-EVAL,I,I-EVAL
doll,Toys,toy,1,12,T,T-SUPER,T,T-SYN
doll,Toys,playing,1,7,S,S-FUNC,S,S-ACTION
dolphin,Animals,animal,1,7,T,T-SUPER,T,T-ONT
dolphin,Animals,fish,1,6,T,T-SUPER,T,T-COORD
dolphin,Animals,friendly,1,9,E,E-SYS,E,E-SYS
dolphin,Animals,gray,1,5,E,E-EXSURF,E,E-EXSURF
dolphin,Animals,intelligent,1,10,E,E-SYS,E,E-SYS
dolphin,Animals,jumps,1,7,E,E-BEH,E,E-BEH
dolphin,Animals,mammal,1,10,T,T-SUPER,T,T-ONT
dolphin,Animals,nice,1,6,I,I-EVAL,E,E-SYS
dolphin,Animals,sea,1,10,S,S-LOC,S,S-LOC
dolphin,Animals,water,1,7,S,S-LOC,S,S-LOC
donkey,Animals,animal,1,15,T,T-SUPER,T,T-ONT
donkey,Animals,gray,1,7,E,E-EXSURF,E,E-EXSURF
donkey,Animals,loads,1,8,S,S-ACTION,S,S-FUNC
donkey,Animals,ears,1,14,E,E-EXCOMP,E,E-EXCOMP
donkey,Animals,legs,1,11,E,E-EXCOMP,E,E-EXCOMP
door,House parts,entry,1,8,S,S-FUNC,S,S-FUNC
door,House parts,exit,1,7,S,S-FUNC,S,S-FUNC
door,House parts,key,1,5,S,S-OBJECT,S,S-FUNC
door,House parts,openable,1,6,S,S-ACTION,E,E-SYS
door,House parts,safety,1,5,S,S-SOCART,S,S-FUNC
door,House parts,divide,1,7,S,S-FUNC,S,S-FUNC
door,House parts,glass,1,6,E,E-EXCOMP,E,E-MAT
door,House parts,closed,1,7,S,S-ACTION,E,E-SYS
door,House parts,handle,1,6,E,E-EXCOMP,E,E-EXCOMP
door,House parts,aluminum,1,10,E,E-MAT,E,E-MAT
door,House parts,wood,1,13,E,E-MAT,E,E-MAT
door,House parts,house,1,5,S,S-LOC,E,E-WHOLE
doorknob,House parts,door,1,9,T,T-SYN,E,E-WHOLE
doorknob,House parts,doors,1,11,S,S-FUNC,E,E-WHOLE
doorknob,House parts,metal,1,5,E,E-MAT,E,E-MAT
doorknob,House parts,opening,1,5,S,S-FUNC,S,S-FUNC
dragonfly,Animals,butterfly,1,8,S,S-OBJECT,T,T-COORD
dragonfly,Animals,flies,1,10,E,E-BEH,E,E-BEH
dragonfly,Animals,insect,1,16,T,T-SUPER,T,T-ONT
dragonfly,Animals,wings,1,10,E,E-EXCOMP,E,E-EXCOMP
dress,Clothing,clothing,1,15,T,T-SUPER,T,T-SYN
dress,Clothing,elegant,1,7,I,I-EVAL,E,E-SYS
dress,Clothing,long,1,10,E,E-QUANT,E,E-SYS
dress,Clothing,women,1,12,S,S-PERSON,S,S-PERSON
dress,Clothing,parties,1,9,S,S-EVENT,S,S-EVENT
dress,Clothing,colors,1,7,E,E-EXSURF,E,E-EXSURF
dress,Clothing,short,1,7,E,E-QUANT,E,E-QUANT
dress,Clothing,fabric,1,9,E,E-MAT,E,E-MAT
dresser,Furniture,storing,1,21,S,S-FUNC,S,S-FUNC
dresser,Furniture,drawers,1,10,E,E-EXCOMP,E,E-EXCOMP
dresser,Furniture,wood,1,14,E,E-MAT,E,E-MAT
dresser,Furniture,furniture,1,19,T,T-SUPER,T,T-SUPER
dresser,Furniture,bedroom,1,15,S,S-LOC,S,S-LOC
drum,Musical instruments,noisy,1,7,E,E-SYS,E,E-SYS
drum,Musical instruments,sound,1,7,S,S-FUNC,S,S-FUNC
drum,Musical instruments,music,1,9,S,S-FUNC,S,S-FUNC
drum,Musical instruments,sticks,1,5,S,S-OBJECT,E,E-EXCOMP
drum,Musical instruments,musical instrument,2,6,T,T-SUPER,T,T-SYN
duck,Animals,animal,1,6,T,T-SUPER,T,T-ONT
duck,Animals,swims,1,6,E,E-BEH,E,E-BEH
duck,Animals,noises,1,5,E,E-BEH,E,E-BEH
eagle,Animals,animal,1,5,T,T-SUPER,T,T-ONT
eagle,Animals,big,1,8,E,E-QUANT,E,E-SYS
eagle,Animals,bird,1,8,T,T-SUPER,T,T-SYN
eagle,Animals,flies,1,16,E,E-BEH,E,E-BEH
eagle,Animals,hunts,1,5,E,E-BEH,E,E-BEH
eagle,Animals,claws,1,9,E,E-EXCOMP,E,E-EXCOMP
eagle,Animals,feathers,1,5,E,E-EXCOMP,E,E-EXCOMP
eagle,Animals,wings,1,6,E,E-EXCOMP,E,E-EXCOMP
eagle,Animals,beak,1,5,E,E-EXCOMP,E,E-EXCOMP
eagle,Animals,mountain,1,7,S,S-LOC,S,S-LOC
ear,Body parts,big,1,6,E,E-QUANT,E,E-SYS
ear,Body parts,body,1,6,E,E-WHOLE,E,E-WHOLE
ear,Body parts,ear,1,5,T,T-COORD,T,T-SYN
ear,Body parts,earring,1,20,S,S-OBJECT,S,S-OBJECT
ear,Body parts,small,1,6,E,E-QUANT,E,E-QUANT
ear,Body parts,hearing,1,25,S,S-FUNC,S,S-FUNC
eel,Animals,eaten,1,5,S,S-ACTION,S,S-ACTION
eel,Animals,electrical,1,5,E,E-SYS,E,E-SYS
eel,Animals,fish,1,11,T,T-SUPER,T,T-SYN
eel,Animals,swims,1,5,E,E-BEH,E,E-BEH
eel,Animals,sea,1,11,S,S-LOC,S,S-LOC
eel,Animals,water,1,12,S,S-LOC,S,S-LOC
elephant,Animals,animal,1,16,T,T-SUPER,T,T-ONT
elephant,Animals,big,1,26,E,E-QUANT,E,E-SYS
elephant,Animals,circus,1,8,S,S-LOC,S,S-EVENT
elephant,Animals,gray,1,7,E,E-EXSURF,E,E-EXSURF
elephant,Animals,heavy,1,8,E,E-SYS,E,E-SYS
elephant,Animals,mammal,1,5,T,T-SUPER,T,T-ONT
elephant,Animals,pachyderm,1,5,T,T-SUPER,T,T-SYN
elephant,Animals,trunk,1,14,E,E-EXCOMP,E,E-EXCOMP
envelope,Utensils,letter,1,17,S,S-OBJECT,S,S-SOCART
envelope,Utensils,mail,1,6,S,S-LOC,S,S-OBJECT
envelope,Utensils,white,1,8,E,E-EXSURF,E,E-EXSURF
envelope,Utensils,news,1,7,S,S-FUNC,S,S-SOCART
envelope,Utensils,papers,1,5,S,S-FUNC,S,S-OBJECT
envelope,Utensils,paper,1,8,E,E-MAT,E,E-MAT
envelope,Utensils,invitation,1,6,S,S-FUNC,S,S-OBJECT
eye,Body parts,body,1,5,E,E-WHOLE,E,E-WHOLE
eye,Body parts,necessary,1,7,I,I-EVAL,E,E-SYS
eye,Body parts,nice,1,5,I,I-EVAL,I,I-EVAL
eye,Body parts,sight,1,11,S,S-FUNC,S,S-FUNC
eye,Body parts,see,1,9,S,S-FUNC,S,S-FUNC
eye,Body parts,face,1,5,S,S-LOC,E,E-WHOLE
fan,Accessories,ancient,1,7,S,S-TIME,E,E-SYS
fan,Accessories,decorative,1,7,E,E-SYS,E,E-SYS
fan,Accessories,heat,1,12,S,S-FUNC,S,S-PHYST
fan,Accessories,gives air,2,8,S,S-FUNC,S,S-FUNC
fan,Accessories,blowing air,2,12,S,S-FUNC,S,S-ACTION
fan,Accessories,folded,1,5,S,S-ACTION,E,E-SYS
fan,Accessories,fresh air,2,7,S,S-FUNC,S,S-FUNC
fan,Accessories,fabric,1,5,E,E-MAT,E,E-MAT
faucet,House Parts,cleanliness,1,5,S,S-SOCART,S,S-FUNC
faucet,House Parts,leaks,1,6,E,E-BEH,E,E-BEH
faucet,House Parts,water,1,24,E,E-SYS,S,S-FUNC
faucet,House Parts,metal,1,6,E,E-MAT,E,E-MAT
faucet,House Parts,bathroom,1,8,S,S-LOC,S,S-LOC
faucet,House Parts,kitchen,1,6,S,S-LOC,S,S-LOC
feather,Body parts,duster,1,8,E,E-WHOLE,S,S-OBJECT
feather,Body parts,flies,1,5,E,E-BEH,E,E-BEH
feather,Body parts,pillow,1,5,S,S-OBJECT,S,S-OBJECT
feather,Body parts,writing,1,9,S,S-FUNC,S,S-FUNC
feather,Body parts,colors,1,7,E,E-EXSURF,E,E-EXSURF
feather,Body parts,birds,1,30,E,E-WHOLE,S,S-LIVING
fence,Constructions,decorative,1,6,E,E-SYS,E,E-SYS
fence,Constructions,protecting,1,6,S,S-FUNC,S,S-FUNC
fence,Constructions,wire,1,6,E,E-MAT,E,E-MAT
fence,Constructions,boundaries,1,12,S,S-FUNC,S,S-FUNC
fence,Constructions,wood,1,16,E,E-MAT,E,E-MAT
fence,Constructions,field,1,5,S,S-LOC,S,S-LOC
